group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_in,q0/c/100/msg/1mb,,,,230114.0,ns,1
fan_in,q0/c/100/msg/1mb,,,,397284.0,ns,2
fan_in,q0/c/100/msg/1mb,,,,506344.0,ns,3
fan_in,q0/c/100/msg/1mb,,,,716471.0,ns,4
fan_in,q0/c/100/msg/1mb,,,,861339.0,ns,5
fan_in,q0/c/100/msg/1mb,,,,1074043.0,ns,6
fan_in,q0/c/100/msg/1mb,,,,1252066.0,ns,7
fan_in,q0/c/100/msg/1mb,,,,1352071.0,ns,8
fan_in,q0/c/100/msg/1mb,,,,1551790.0,ns,9
fan_in,q0/c/100/msg/1mb,,,,1909271.0,ns,10
fan_in,q0/c/100/msg/1mb,,,,1579407.0,ns,11
fan_in,q0/c/100/msg/1mb,,,,1686904.0,ns,12
fan_in,q0/c/100/msg/1mb,,,,1885777.0,ns,13
fan_in,q0/c/100/msg/1mb,,,,1977299.0,ns,14
fan_in,q0/c/100/msg/1mb,,,,2249603.0,ns,15
fan_in,q0/c/100/msg/1mb,,,,1063872.0,ns,16
fan_in,q0/c/100/msg/1mb,,,,745777.0,ns,17
fan_in,q0/c/100/msg/1mb,,,,804344.0,ns,18
fan_in,q0/c/100/msg/1mb,,,,886087.0,ns,19
fan_in,q0/c/100/msg/1mb,,,,2149345.0,ns,20
fan_in,q0/c/100/msg/1mb,,,,2776491.0,ns,21
fan_in,q0/c/100/msg/1mb,,,,3235399.0,ns,22
fan_in,q0/c/100/msg/1mb,,,,2978517.0,ns,23
fan_in,q0/c/100/msg/1mb,,,,3201187.0,ns,24
fan_in,q0/c/100/msg/1mb,,,,3256299.0,ns,25
fan_in,q0/c/100/msg/1mb,,,,3268183.0,ns,26
fan_in,q0/c/100/msg/1mb,,,,3634421.0,ns,27
fan_in,q0/c/100/msg/1mb,,,,3839741.0,ns,28
fan_in,q0/c/100/msg/1mb,,,,3799850.0,ns,29
fan_in,q0/c/100/msg/1mb,,,,3899878.0,ns,30
