group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_in,q0/c/100/msg/32b,,,,1007189.0,ns,31
fan_in,q0/c/100/msg/32b,,,,2062128.0,ns,62
fan_in,q0/c/100/msg/32b,,,,2998445.0,ns,93
fan_in,q0/c/100/msg/32b,,,,4100355.0,ns,124
fan_in,q0/c/100/msg/32b,,,,5030836.0,ns,155
fan_in,q0/c/100/msg/32b,,,,6208496.0,ns,186
fan_in,q0/c/100/msg/32b,,,,7365246.0,ns,217
fan_in,q0/c/100/msg/32b,,,,8019903.0,ns,248
fan_in,q0/c/100/msg/32b,,,,9177283.0,ns,279
fan_in,q0/c/100/msg/32b,,,,9883238.0,ns,310
fan_in,q0/c/100/msg/32b,,,,11082130.0,ns,341
fan_in,q0/c/100/msg/32b,,,,12139845.0,ns,372
fan_in,q0/c/100/msg/32b,,,,13013959.0,ns,403
fan_in,q0/c/100/msg/32b,,,,13972225.0,ns,434
fan_in,q0/c/100/msg/32b,,,,15002274.0,ns,465
fan_in,q0/c/100/msg/32b,,,,16116035.0,ns,496
fan_in,q0/c/100/msg/32b,,,,17066751.0,ns,527
fan_in,q0/c/100/msg/32b,,,,16997299.0,ns,558
fan_in,q0/c/100/msg/32b,,,,19011053.0,ns,589
fan_in,q0/c/100/msg/32b,,,,19725927.0,ns,620
fan_in,q0/c/100/msg/32b,,,,22114888.0,ns,651
fan_in,q0/c/100/msg/32b,,,,22086297.0,ns,682
fan_in,q0/c/100/msg/32b,,,,23037874.0,ns,713
fan_in,q0/c/100/msg/32b,,,,23241674.0,ns,744
fan_in,q0/c/100/msg/32b,,,,25094845.0,ns,775
fan_in,q0/c/100/msg/32b,,,,25266097.0,ns,806
fan_in,q0/c/100/msg/32b,,,,26410512.0,ns,837
fan_in,q0/c/100/msg/32b,,,,27298666.0,ns,868
fan_in,q0/c/100/msg/32b,,,,27381341.0,ns,899
fan_in,q0/c/100/msg/32b,,,,30988169.0,ns,930
fan_in,q0/c/100/msg/32b,,,,33370530.0,ns,961
fan_in,q0/c/100/msg/32b,,,,35448573.0,ns,992
fan_in,q0/c/100/msg/32b,,,,41539065.0,ns,1023
fan_in,q0/c/100/msg/32b,,,,34045658.0,ns,1054
fan_in,q0/c/100/msg/32b,,,,34631185.0,ns,1085
fan_in,q0/c/100/msg/32b,,,,38964102.0,ns,1116
fan_in,q0/c/100/msg/32b,,,,41212876.0,ns,1147
fan_in,q0/c/100/msg/32b,,,,41816953.0,ns,1178
fan_in,q0/c/100/msg/32b,,,,43824627.0,ns,1209
fan_in,q0/c/100/msg/32b,,,,45015304.0,ns,1240
fan_in,q0/c/100/msg/32b,,,,43396674.0,ns,1271
fan_in,q0/c/100/msg/32b,,,,43610464.0,ns,1302
fan_in,q0/c/100/msg/32b,,,,42765376.0,ns,1333
fan_in,q0/c/100/msg/32b,,,,44083262.0,ns,1364
fan_in,q0/c/100/msg/32b,,,,44658668.0,ns,1395
fan_in,q0/c/100/msg/32b,,,,45862072.0,ns,1426
fan_in,q0/c/100/msg/32b,,,,46907043.0,ns,1457
fan_in,q0/c/100/msg/32b,,,,48018666.0,ns,1488
fan_in,q0/c/100/msg/32b,,,,49433809.0,ns,1519
fan_in,q0/c/100/msg/32b,,,,50074264.0,ns,1550
fan_in,q0/c/100/msg/32b,,,,48597282.0,ns,1581
fan_in,q0/c/100/msg/32b,,,,51776377.0,ns,1612
fan_in,q0/c/100/msg/32b,,,,51848924.0,ns,1643
fan_in,q0/c/100/msg/32b,,,,72988663.0,ns,1674
fan_in,q0/c/100/msg/32b,,,,56685937.0,ns,1705
fan_in,q0/c/100/msg/32b,,,,54582065.0,ns,1736
fan_in,q0/c/100/msg/32b,,,,56123960.0,ns,1767
fan_in,q0/c/100/msg/32b,,,,57951722.0,ns,1798
fan_in,q0/c/100/msg/32b,,,,59405758.0,ns,1829
fan_in,q0/c/100/msg/32b,,,,62078592.0,ns,1860
fan_in,q0/c/100/msg/32b,,,,59511928.0,ns,1891
fan_in,q0/c/100/msg/32b,,,,61218788.0,ns,1922
fan_in,q0/c/100/msg/32b,,,,63746240.0,ns,1953
