group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_in,q0/c/10/msg/128kb,,,,124499.0,ns,3
fan_in,q0/c/10/msg/128kb,,,,229737.0,ns,6
fan_in,q0/c/10/msg/128kb,,,,283593.0,ns,9
fan_in,q0/c/10/msg/128kb,,,,351843.0,ns,12
fan_in,q0/c/10/msg/128kb,,,,484009.0,ns,15
fan_in,q0/c/10/msg/128kb,,,,619445.0,ns,18
fan_in,q0/c/10/msg/128kb,,,,646236.0,ns,21
fan_in,q0/c/10/msg/128kb,,,,709700.0,ns,24
fan_in,q0/c/10/msg/128kb,,,,1024780.0,ns,27
fan_in,q0/c/10/msg/128kb,,,,1054306.0,ns,30
fan_in,q0/c/10/msg/128kb,,,,942126.0,ns,33
fan_in,q0/c/10/msg/128kb,,,,992042.0,ns,36
fan_in,q0/c/10/msg/128kb,,,,1147097.0,ns,39
fan_in,q0/c/10/msg/128kb,,,,1079440.0,ns,42
fan_in,q0/c/10/msg/128kb,,,,1193507.0,ns,45
fan_in,q0/c/10/msg/128kb,,,,1324159.0,ns,48
fan_in,q0/c/10/msg/128kb,,,,1571867.0,ns,51
fan_in,q0/c/10/msg/128kb,,,,1468577.0,ns,54
fan_in,q0/c/10/msg/128kb,,,,1590177.0,ns,57
fan_in,q0/c/10/msg/128kb,,,,1847961.0,ns,60
fan_in,q0/c/10/msg/128kb,,,,1818662.0,ns,63
fan_in,q0/c/10/msg/128kb,,,,1896405.0,ns,66
fan_in,q0/c/10/msg/128kb,,,,1749190.0,ns,69
fan_in,q0/c/10/msg/128kb,,,,1814482.0,ns,72
fan_in,q0/c/10/msg/128kb,,,,1859193.0,ns,75
fan_in,q0/c/10/msg/128kb,,,,2004928.0,ns,78
fan_in,q0/c/10/msg/128kb,,,,2205908.0,ns,81
fan_in,q0/c/10/msg/128kb,,,,2164834.0,ns,84
fan_in,q0/c/10/msg/128kb,,,,2047952.0,ns,87
fan_in,q0/c/10/msg/128kb,,,,2080872.0,ns,90
fan_in,q0/c/10/msg/128kb,,,,2226198.0,ns,93
fan_in,q0/c/10/msg/128kb,,,,2405993.0,ns,96
fan_in,q0/c/10/msg/128kb,,,,2440775.0,ns,99
fan_in,q0/c/10/msg/128kb,,,,2448007.0,ns,102
fan_in,q0/c/10/msg/128kb,,,,2541904.0,ns,105
fan_in,q0/c/10/msg/128kb,,,,2843740.0,ns,108
fan_in,q0/c/10/msg/128kb,,,,2722938.0,ns,111
fan_in,q0/c/10/msg/128kb,,,,2655969.0,ns,114
fan_in,q0/c/10/msg/128kb,,,,2687456.0,ns,117
fan_in,q0/c/10/msg/128kb,,,,2849816.0,ns,120
fan_in,q0/c/10/msg/128kb,,,,3005760.0,ns,123
fan_in,q0/c/10/msg/128kb,,,,3051043.0,ns,126
fan_in,q0/c/10/msg/128kb,,,,2952558.0,ns,129
fan_in,q0/c/10/msg/128kb,,,,3042217.0,ns,132
fan_in,q0/c/10/msg/128kb,,,,3041847.0,ns,135
fan_in,q0/c/10/msg/128kb,,,,3241907.0,ns,138
fan_in,q0/c/10/msg/128kb,,,,3181339.0,ns,141
fan_in,q0/c/10/msg/128kb,,,,3551604.0,ns,144
fan_in,q0/c/10/msg/128kb,,,,3327261.0,ns,147
fan_in,q0/c/10/msg/128kb,,,,3410003.0,ns,150
fan_in,q0/c/10/msg/128kb,,,,4139271.0,ns,153
fan_in,q0/c/10/msg/128kb,,,,3731892.0,ns,156
fan_in,q0/c/10/msg/128kb,,,,3547229.0,ns,159
fan_in,q0/c/10/msg/128kb,,,,3771126.0,ns,162
fan_in,q0/c/10/msg/128kb,,,,3760271.0,ns,165
fan_in,q0/c/10/msg/128kb,,,,3910851.0,ns,168
fan_in,q0/c/10/msg/128kb,,,,3983015.0,ns,171
fan_in,q0/c/10/msg/128kb,,,,3804765.0,ns,174
fan_in,q0/c/10/msg/128kb,,,,4471402.0,ns,177
fan_in,q0/c/10/msg/128kb,,,,4071866.0,ns,180
