group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_in,q0/c/10/msg/32b,,,,1017014.0,ns,178
fan_in,q0/c/10/msg/32b,,,,1969715.0,ns,356
fan_in,q0/c/10/msg/32b,,,,2989014.0,ns,534
fan_in,q0/c/10/msg/32b,,,,3859070.0,ns,712
fan_in,q0/c/10/msg/32b,,,,4421301.0,ns,890
fan_in,q0/c/10/msg/32b,,,,5201657.0,ns,1068
fan_in,q0/c/10/msg/32b,,,,7753098.0,ns,1246
fan_in,q0/c/10/msg/32b,,,,9611845.0,ns,1424
fan_in,q0/c/10/msg/32b,,,,10973648.0,ns,1602
fan_in,q0/c/10/msg/32b,,,,12005689.0,ns,1780
fan_in,q0/c/10/msg/32b,,,,12114001.0,ns,1958
fan_in,q0/c/10/msg/32b,,,,13684787.0,ns,2136
fan_in,q0/c/10/msg/32b,,,,15364742.0,ns,2314
fan_in,q0/c/10/msg/32b,,,,17346571.0,ns,2492
fan_in,q0/c/10/msg/32b,,,,18623617.0,ns,2670
fan_in,q0/c/10/msg/32b,,,,19925377.0,ns,2848
fan_in,q0/c/10/msg/32b,,,,21268591.0,ns,3026
fan_in,q0/c/10/msg/32b,,,,22419806.0,ns,3204
fan_in,q0/c/10/msg/32b,,,,23694439.0,ns,3382
fan_in,q0/c/10/msg/32b,,,,24920672.0,ns,3560
fan_in,q0/c/10/msg/32b,,,,26142720.0,ns,3738
fan_in,q0/c/10/msg/32b,,,,27290345.0,ns,3916
fan_in,q0/c/10/msg/32b,,,,28529548.0,ns,4094
fan_in,q0/c/10/msg/32b,,,,29745072.0,ns,4272
fan_in,q0/c/10/msg/32b,,,,30971713.0,ns,4450
fan_in,q0/c/10/msg/32b,,,,26212605.0,ns,4628
fan_in,q0/c/10/msg/32b,,,,24185027.0,ns,4806
fan_in,q0/c/10/msg/32b,,,,24113584.0,ns,4984
fan_in,q0/c/10/msg/32b,,,,26239375.0,ns,5162
fan_in,q0/c/10/msg/32b,,,,28970001.0,ns,5340
fan_in,q0/c/10/msg/32b,,,,29852882.0,ns,5518
fan_in,q0/c/10/msg/32b,,,,30843142.0,ns,5696
fan_in,q0/c/10/msg/32b,,,,29531498.0,ns,5874
fan_in,q0/c/10/msg/32b,,,,40440518.0,ns,6052
fan_in,q0/c/10/msg/32b,,,,43410471.0,ns,6230
fan_in,q0/c/10/msg/32b,,,,32731585.0,ns,6408
fan_in,q0/c/10/msg/32b,,,,32756675.0,ns,6586
fan_in,q0/c/10/msg/32b,,,,32668450.0,ns,6764
