group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_in,q1/c/100/msg/128kb,,,,169641.0,ns,2
fan_in,q1/c/100/msg/128kb,,,,379976.0,ns,4
fan_in,q1/c/100/msg/128kb,,,,624801.0,ns,6
fan_in,q1/c/100/msg/128kb,,,,694239.0,ns,8
fan_in,q1/c/100/msg/128kb,,,,572522.0,ns,10
fan_in,q1/c/100/msg/128kb,,,,648978.0,ns,12
fan_in,q1/c/100/msg/128kb,,,,777601.0,ns,14
fan_in,q1/c/100/msg/128kb,,,,881268.0,ns,16
fan_in,q1/c/100/msg/128kb,,,,1139581.0,ns,18
fan_in,q1/c/100/msg/128kb,,,,1314365.0,ns,20
fan_in,q1/c/100/msg/128kb,,,,1134517.0,ns,22
fan_in,q1/c/100/msg/128kb,,,,1243950.0,ns,24
fan_in,q1/c/100/msg/128kb,,,,1346584.0,ns,26
fan_in,q1/c/100/msg/128kb,,,,1423387.0,ns,28
fan_in,q1/c/100/msg/128kb,,,,1515982.0,ns,30
fan_in,q1/c/100/msg/128kb,,,,1623136.0,ns,32
fan_in,q1/c/100/msg/128kb,,,,1724195.0,ns,34
fan_in,q1/c/100/msg/128kb,,,,1980506.0,ns,36
fan_in,q1/c/100/msg/128kb,,,,3487259.0,ns,38
fan_in,q1/c/100/msg/128kb,,,,4817222.0,ns,40
fan_in,q1/c/100/msg/128kb,,,,5013339.0,ns,42
fan_in,q1/c/100/msg/128kb,,,,5303707.0,ns,44
fan_in,q1/c/100/msg/128kb,,,,6229436.0,ns,46
fan_in,q1/c/100/msg/128kb,,,,5629668.0,ns,48
fan_in,q1/c/100/msg/128kb,,,,5924477.0,ns,50
fan_in,q1/c/100/msg/128kb,,,,5971966.0,ns,52
fan_in,q1/c/100/msg/128kb,,,,6267718.0,ns,54
fan_in,q1/c/100/msg/128kb,,,,6518574.0,ns,56
fan_in,q1/c/100/msg/128kb,,,,6802799.0,ns,58
fan_in,q1/c/100/msg/128kb,,,,7199710.0,ns,60
fan_in,q1/c/100/msg/128kb,,,,7168676.0,ns,62
fan_in,q1/c/100/msg/128kb,,,,7601862.0,ns,64
fan_in,q1/c/100/msg/128kb,,,,7826131.0,ns,66
fan_in,q1/c/100/msg/128kb,,,,7877418.0,ns,68
fan_in,q1/c/100/msg/128kb,,,,8145545.0,ns,70
fan_in,q1/c/100/msg/128kb,,,,8138391.0,ns,72
fan_in,q1/c/100/msg/128kb,,,,8401162.0,ns,74
fan_in,q1/c/100/msg/128kb,,,,9003396.0,ns,76
fan_in,q1/c/100/msg/128kb,,,,9084818.0,ns,78
fan_in,q1/c/100/msg/128kb,,,,9820713.0,ns,80
fan_in,q1/c/100/msg/128kb,,,,9583404.0,ns,82
fan_in,q1/c/100/msg/128kb,,,,9394579.0,ns,84
fan_in,q1/c/100/msg/128kb,,,,9808605.0,ns,86
fan_in,q1/c/100/msg/128kb,,,,9913634.0,ns,88
fan_in,q1/c/100/msg/128kb,,,,10062212.0,ns,90
fan_in,q1/c/100/msg/128kb,,,,10401479.0,ns,92
fan_in,q1/c/100/msg/128kb,,,,11034614.0,ns,94
fan_in,q1/c/100/msg/128kb,,,,10732627.0,ns,96
fan_in,q1/c/100/msg/128kb,,,,10925836.0,ns,98
fan_in,q1/c/100/msg/128kb,,,,11212640.0,ns,100
fan_in,q1/c/100/msg/128kb,,,,11785996.0,ns,102
fan_in,q1/c/100/msg/128kb,,,,12792766.0,ns,104
fan_in,q1/c/100/msg/128kb,,,,12216885.0,ns,106
fan_in,q1/c/100/msg/128kb,,,,11930951.0,ns,108
fan_in,q1/c/100/msg/128kb,,,,12134951.0,ns,110
fan_in,q1/c/100/msg/128kb,,,,12524113.0,ns,112
fan_in,q1/c/100/msg/128kb,,,,13208805.0,ns,114
fan_in,q1/c/100/msg/128kb,,,,13729423.0,ns,116
fan_in,q1/c/100/msg/128kb,,,,13126944.0,ns,118
fan_in,q1/c/100/msg/128kb,,,,13256266.0,ns,120
fan_in,q1/c/100/msg/128kb,,,,13276722.0,ns,122
fan_in,q1/c/100/msg/128kb,,,,15284844.0,ns,124
fan_in,q1/c/100/msg/128kb,,,,15506878.0,ns,126
fan_in,q1/c/100/msg/128kb,,,,15797373.0,ns,128
fan_in,q1/c/100/msg/128kb,,,,15996392.0,ns,130
fan_in,q1/c/100/msg/128kb,,,,15320193.0,ns,132
fan_in,q1/c/100/msg/128kb,,,,14964651.0,ns,134
fan_in,q1/c/100/msg/128kb,,,,14934442.0,ns,136
fan_in,q1/c/100/msg/128kb,,,,15465479.0,ns,138
fan_in,q1/c/100/msg/128kb,,,,15693588.0,ns,140
fan_in,q1/c/100/msg/128kb,,,,15692936.0,ns,142
fan_in,q1/c/100/msg/128kb,,,,15865365.0,ns,144
fan_in,q1/c/100/msg/128kb,,,,16017259.0,ns,146
fan_in,q1/c/100/msg/128kb,,,,15985507.0,ns,148
fan_in,q1/c/100/msg/128kb,,,,16964145.0,ns,150
fan_in,q1/c/100/msg/128kb,,,,17004594.0,ns,152
fan_in,q1/c/100/msg/128kb,,,,17093405.0,ns,154
fan_in,q1/c/100/msg/128kb,,,,17378080.0,ns,156
fan_in,q1/c/100/msg/128kb,,,,17279364.0,ns,158
fan_in,q1/c/100/msg/128kb,,,,18489725.0,ns,160
fan_in,q1/c/100/msg/128kb,,,,17697946.0,ns,162
fan_in,q1/c/100/msg/128kb,,,,17973837.0,ns,164
fan_in,q1/c/100/msg/128kb,,,,18149232.0,ns,166
fan_in,q1/c/100/msg/128kb,,,,18284613.0,ns,168
fan_in,q1/c/100/msg/128kb,,,,13284169.0,ns,170
fan_in,q1/c/100/msg/128kb,,,,6143693.0,ns,172
fan_in,q1/c/100/msg/128kb,,,,6452880.0,ns,174
fan_in,q1/c/100/msg/128kb,,,,6257326.0,ns,176
fan_in,q1/c/100/msg/128kb,,,,6332401.0,ns,178
fan_in,q1/c/100/msg/128kb,,,,6447345.0,ns,180
fan_in,q1/c/100/msg/128kb,,,,6473429.0,ns,182
fan_in,q1/c/100/msg/128kb,,,,6509722.0,ns,184
fan_in,q1/c/100/msg/128kb,,,,6582910.0,ns,186
