group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_in,q1/c/1/msg/1mb,,,,59541.0,ns,1
fan_in,q1/c/1/msg/1mb,,,,102654.0,ns,2
fan_in,q1/c/1/msg/1mb,,,,98181.0,ns,3
fan_in,q1/c/1/msg/1mb,,,,350933.0,ns,4
fan_in,q1/c/1/msg/1mb,,,,318661.0,ns,5
fan_in,q1/c/1/msg/1mb,,,,464003.0,ns,6
fan_in,q1/c/1/msg/1mb,,,,594230.0,ns,7
fan_in,q1/c/1/msg/1mb,,,,662478.0,ns,8
fan_in,q1/c/1/msg/1mb,,,,679938.0,ns,9
fan_in,q1/c/1/msg/1mb,,,,808124.0,ns,10
fan_in,q1/c/1/msg/1mb,,,,529931.0,ns,11
fan_in,q1/c/1/msg/1mb,,,,493687.0,ns,12
fan_in,q1/c/1/msg/1mb,,,,580045.0,ns,13
fan_in,q1/c/1/msg/1mb,,,,553789.0,ns,14
fan_in,q1/c/1/msg/1mb,,,,680096.0,ns,15
fan_in,q1/c/1/msg/1mb,,,,720333.0,ns,16
fan_in,q1/c/1/msg/1mb,,,,770450.0,ns,17
fan_in,q1/c/1/msg/1mb,,,,753146.0,ns,18
fan_in,q1/c/1/msg/1mb,,,,696665.0,ns,19
fan_in,q1/c/1/msg/1mb,,,,730814.0,ns,20
fan_in,q1/c/1/msg/1mb,,,,547560.0,ns,21
fan_in,q1/c/1/msg/1mb,,,,630353.0,ns,22
fan_in,q1/c/1/msg/1mb,,,,615985.0,ns,23
fan_in,q1/c/1/msg/1mb,,,,706267.0,ns,24
fan_in,q1/c/1/msg/1mb,,,,737260.0,ns,25
fan_in,q1/c/1/msg/1mb,,,,671713.0,ns,26
fan_in,q1/c/1/msg/1mb,,,,825644.0,ns,27
fan_in,q1/c/1/msg/1mb,,,,880337.0,ns,28
fan_in,q1/c/1/msg/1mb,,,,753603.0,ns,29
fan_in,q1/c/1/msg/1mb,,,,940534.0,ns,30
fan_in,q1/c/1/msg/1mb,,,,753971.0,ns,31
fan_in,q1/c/1/msg/1mb,,,,814397.0,ns,32
fan_in,q1/c/1/msg/1mb,,,,686052.0,ns,33
fan_in,q1/c/1/msg/1mb,,,,714970.0,ns,34
fan_in,q1/c/1/msg/1mb,,,,712273.0,ns,35
fan_in,q1/c/1/msg/1mb,,,,865586.0,ns,36
fan_in,q1/c/1/msg/1mb,,,,876468.0,ns,37
fan_in,q1/c/1/msg/1mb,,,,789828.0,ns,38
fan_in,q1/c/1/msg/1mb,,,,768811.0,ns,39
fan_in,q1/c/1/msg/1mb,,,,933163.0,ns,40
fan_in,q1/c/1/msg/1mb,,,,810236.0,ns,41
fan_in,q1/c/1/msg/1mb,,,,894519.0,ns,42
fan_in,q1/c/1/msg/1mb,,,,892315.0,ns,43
fan_in,q1/c/1/msg/1mb,,,,912355.0,ns,44
fan_in,q1/c/1/msg/1mb,,,,909297.0,ns,45
fan_in,q1/c/1/msg/1mb,,,,960505.0,ns,46
fan_in,q1/c/1/msg/1mb,,,,972382.0,ns,47
fan_in,q1/c/1/msg/1mb,,,,1070444.0,ns,48
fan_in,q1/c/1/msg/1mb,,,,983870.0,ns,49
fan_in,q1/c/1/msg/1mb,,,,1122280.0,ns,50
fan_in,q1/c/1/msg/1mb,,,,929017.0,ns,51
fan_in,q1/c/1/msg/1mb,,,,934466.0,ns,52
fan_in,q1/c/1/msg/1mb,,,,883144.0,ns,53
fan_in,q1/c/1/msg/1mb,,,,1073496.0,ns,54
fan_in,q1/c/1/msg/1mb,,,,1099430.0,ns,55
fan_in,q1/c/1/msg/1mb,,,,1091228.0,ns,56
fan_in,q1/c/1/msg/1mb,,,,1120356.0,ns,57
