group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_out,q1/c/10/msg/32b,,,,797401.0,ns,44
fan_out,q1/c/10/msg/32b,,,,1827433.0,ns,88
fan_out,q1/c/10/msg/32b,,,,2470510.0,ns,132
fan_out,q1/c/10/msg/32b,,,,3348820.0,ns,176
fan_out,q1/c/10/msg/32b,,,,3921839.0,ns,220
fan_out,q1/c/10/msg/32b,,,,4816301.0,ns,264
fan_out,q1/c/10/msg/32b,,,,5561275.0,ns,308
fan_out,q1/c/10/msg/32b,,,,6364320.0,ns,352
fan_out,q1/c/10/msg/32b,,,,14578147.0,ns,396
fan_out,q1/c/10/msg/32b,,,,7521639.0,ns,440
fan_out,q1/c/10/msg/32b,,,,13057811.0,ns,484
fan_out,q1/c/10/msg/32b,,,,9138270.0,ns,528
fan_out,q1/c/10/msg/32b,,,,9875863.0,ns,572
fan_out,q1/c/10/msg/32b,,,,11278429.0,ns,616
fan_out,q1/c/10/msg/32b,,,,11155696.0,ns,660
fan_out,q1/c/10/msg/32b,,,,11368505.0,ns,704
fan_out,q1/c/10/msg/32b,,,,12849247.0,ns,748
fan_out,q1/c/10/msg/32b,,,,13848446.0,ns,792
fan_out,q1/c/10/msg/32b,,,,13440375.0,ns,836
fan_out,q1/c/10/msg/32b,,,,14647196.0,ns,880
fan_out,q1/c/10/msg/32b,,,,15752522.0,ns,924
fan_out,q1/c/10/msg/32b,,,,17306831.0,ns,968
fan_out,q1/c/10/msg/32b,,,,18116970.0,ns,1012
fan_out,q1/c/10/msg/32b,,,,17679783.0,ns,1056
fan_out,q1/c/10/msg/32b,,,,18171973.0,ns,1100
fan_out,q1/c/10/msg/32b,,,,18964400.0,ns,1144
fan_out,q1/c/10/msg/32b,,,,20923921.0,ns,1188
fan_out,q1/c/10/msg/32b,,,,21913520.0,ns,1232
fan_out,q1/c/10/msg/32b,,,,23352752.0,ns,1276
fan_out,q1/c/10/msg/32b,,,,23632472.0,ns,1320
fan_out,q1/c/10/msg/32b,,,,24070384.0,ns,1364
fan_out,q1/c/10/msg/32b,,,,24056875.0,ns,1408
fan_out,q1/c/10/msg/32b,,,,25889372.0,ns,1452
fan_out,q1/c/10/msg/32b,,,,25694172.0,ns,1496
fan_out,q1/c/10/msg/32b,,,,27500516.0,ns,1540
fan_out,q1/c/10/msg/32b,,,,27438032.0,ns,1584
fan_out,q1/c/10/msg/32b,,,,28567519.0,ns,1628
fan_out,q1/c/10/msg/32b,,,,28765391.0,ns,1672
fan_out,q1/c/10/msg/32b,,,,30378563.0,ns,1716
fan_out,q1/c/10/msg/32b,,,,30938093.0,ns,1760
fan_out,q1/c/10/msg/32b,,,,31429159.0,ns,1804
fan_out,q1/c/10/msg/32b,,,,30206210.0,ns,1848
fan_out,q1/c/10/msg/32b,,,,32632004.0,ns,1892
fan_out,q1/c/10/msg/32b,,,,32645786.0,ns,1936
fan_out,q1/c/10/msg/32b,,,,35490316.0,ns,1980
fan_out,q1/c/10/msg/32b,,,,37228606.0,ns,2024
fan_out,q1/c/10/msg/32b,,,,37459134.0,ns,2068
fan_out,q1/c/10/msg/32b,,,,38854034.0,ns,2112
fan_out,q1/c/10/msg/32b,,,,38466845.0,ns,2156
fan_out,q1/c/10/msg/32b,,,,51378523.0,ns,2200
fan_out,q1/c/10/msg/32b,,,,41377011.0,ns,2244
fan_out,q1/c/10/msg/32b,,,,40419553.0,ns,2288
fan_out,q1/c/10/msg/32b,,,,40222219.0,ns,2332
fan_out,q1/c/10/msg/32b,,,,41553425.0,ns,2376
fan_out,q1/c/10/msg/32b,,,,42307873.0,ns,2420
fan_out,q1/c/10/msg/32b,,,,44161731.0,ns,2464
fan_out,q1/c/10/msg/32b,,,,43273064.0,ns,2508
fan_out,q1/c/10/msg/32b,,,,45231149.0,ns,2552
fan_out,q1/c/10/msg/32b,,,,47166384.0,ns,2596
fan_out,q1/c/10/msg/32b,,,,43741044.0,ns,2640
fan_out,q1/c/10/msg/32b,,,,47690851.0,ns,2684
fan_out,q1/c/10/msg/32b,,,,60155642.0,ns,2728
fan_out,q1/c/10/msg/32b,,,,55708514.0,ns,2772
fan_out,q1/c/10/msg/32b,,,,48215478.0,ns,2816
fan_out,q1/c/10/msg/32b,,,,50958497.0,ns,2860
fan_out,q1/c/10/msg/32b,,,,48425045.0,ns,2904
fan_out,q1/c/10/msg/32b,,,,60777652.0,ns,2948
fan_out,q1/c/10/msg/32b,,,,54955774.0,ns,2992
fan_out,q1/c/10/msg/32b,,,,55119946.0,ns,3036
fan_out,q1/c/10/msg/32b,,,,54231206.0,ns,3080
fan_out,q1/c/10/msg/32b,,,,55430280.0,ns,3124
fan_out,q1/c/10/msg/32b,,,,54098246.0,ns,3168
fan_out,q1/c/10/msg/32b,,,,54911299.0,ns,3212
fan_out,q1/c/10/msg/32b,,,,57173882.0,ns,3256
fan_out,q1/c/10/msg/32b,,,,57475322.0,ns,3300
fan_out,q1/c/10/msg/32b,,,,59050806.0,ns,3344
fan_out,q1/c/10/msg/32b,,,,61799501.0,ns,3388
fan_out,q1/c/10/msg/32b,,,,61652097.0,ns,3432
fan_out,q1/c/10/msg/32b,,,,64300133.0,ns,3476
fan_out,q1/c/10/msg/32b,,,,63568631.0,ns,3520
fan_out,q1/c/10/msg/32b,,,,78618241.0,ns,3564
fan_out,q1/c/10/msg/32b,,,,73656270.0,ns,3608
fan_out,q1/c/10/msg/32b,,,,69552697.0,ns,3652
fan_out,q1/c/10/msg/32b,,,,66931972.0,ns,3696
fan_out,q1/c/10/msg/32b,,,,66029550.0,ns,3740
fan_out,q1/c/10/msg/32b,,,,64597594.0,ns,3784
fan_out,q1/c/10/msg/32b,,,,68543124.0,ns,3828
fan_out,q1/c/10/msg/32b,,,,66627258.0,ns,3872
fan_out,q1/c/10/msg/32b,,,,66799873.0,ns,3916
fan_out,q1/c/10/msg/32b,,,,69892667.0,ns,3960
fan_out,q1/c/10/msg/32b,,,,69004312.0,ns,4004
fan_out,q1/c/10/msg/32b,,,,68887495.0,ns,4048
fan_out,q1/c/10/msg/32b,,,,70364491.0,ns,4092
fan_out,q1/c/10/msg/32b,,,,71985950.0,ns,4136
fan_out,q1/c/10/msg/32b,,,,76115074.0,ns,4180
fan_out,q1/c/10/msg/32b,,,,76434229.0,ns,4224
fan_out,q1/c/10/msg/32b,,,,75336165.0,ns,4268
fan_out,q1/c/10/msg/32b,,,,77341845.0,ns,4312
fan_out,q1/c/10/msg/32b,,,,76337022.0,ns,4356
fan_out,q1/c/10/msg/32b,,,,76255193.0,ns,4400
