group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sub_separate_128kb_q0,sub_100,,,,119765.0,ns,2
sub_separate_128kb_q0,sub_100,,,,272053.0,ns,4
sub_separate_128kb_q0,sub_100,,,,441995.0,ns,6
sub_separate_128kb_q0,sub_100,,,,595351.0,ns,8
sub_separate_128kb_q0,sub_100,,,,727673.0,ns,10
sub_separate_128kb_q0,sub_100,,,,728320.0,ns,12
sub_separate_128kb_q0,sub_100,,,,793452.0,ns,14
sub_separate_128kb_q0,sub_100,,,,912101.0,ns,16
sub_separate_128kb_q0,sub_100,,,,994745.0,ns,18
sub_separate_128kb_q0,sub_100,,,,1110066.0,ns,20
sub_separate_128kb_q0,sub_100,,,,1230864.0,ns,22
sub_separate_128kb_q0,sub_100,,,,1409412.0,ns,24
sub_separate_128kb_q0,sub_100,,,,1486396.0,ns,26
sub_separate_128kb_q0,sub_100,,,,1585382.0,ns,28
sub_separate_128kb_q0,sub_100,,,,1678094.0,ns,30
sub_separate_128kb_q0,sub_100,,,,1786973.0,ns,32
sub_separate_128kb_q0,sub_100,,,,2010369.0,ns,34
sub_separate_128kb_q0,sub_100,,,,2568074.0,ns,36
sub_separate_128kb_q0,sub_100,,,,2441310.0,ns,38
sub_separate_128kb_q0,sub_100,,,,2718410.0,ns,40
sub_separate_128kb_q0,sub_100,,,,2350657.0,ns,42
sub_separate_128kb_q0,sub_100,,,,2871678.0,ns,44
sub_separate_128kb_q0,sub_100,,,,2917413.0,ns,46
sub_separate_128kb_q0,sub_100,,,,2692715.0,ns,48
sub_separate_128kb_q0,sub_100,,,,2821894.0,ns,50
sub_separate_128kb_q0,sub_100,,,,2892106.0,ns,52
sub_separate_128kb_q0,sub_100,,,,2974369.0,ns,54
sub_separate_128kb_q0,sub_100,,,,3089828.0,ns,56
sub_separate_128kb_q0,sub_100,,,,3474780.0,ns,58
sub_separate_128kb_q0,sub_100,,,,3341613.0,ns,60
sub_separate_128kb_q0,sub_100,,,,3535179.0,ns,62
sub_separate_128kb_q0,sub_100,,,,3565146.0,ns,64
sub_separate_128kb_q0,sub_100,,,,3714335.0,ns,66
sub_separate_128kb_q0,sub_100,,,,3743664.0,ns,68
sub_separate_128kb_q0,sub_100,,,,3877478.0,ns,70
sub_separate_128kb_q0,sub_100,,,,4055312.0,ns,72
sub_separate_128kb_q0,sub_100,,,,4758649.0,ns,74
sub_separate_128kb_q0,sub_100,,,,4256185.0,ns,76
sub_separate_128kb_q0,sub_100,,,,4354551.0,ns,78
sub_separate_128kb_q0,sub_100,,,,4686609.0,ns,80
sub_separate_128kb_q0,sub_100,,,,4645678.0,ns,82
sub_separate_128kb_q0,sub_100,,,,4050454.0,ns,84
sub_separate_128kb_q0,sub_100,,,,1784134.0,ns,86
sub_separate_128kb_q0,sub_100,,,,1825370.0,ns,88
sub_separate_128kb_q0,sub_100,,,,1863062.0,ns,90
sub_separate_128kb_q0,sub_100,,,,2823441.0,ns,92
sub_separate_128kb_q0,sub_100,,,,5208388.0,ns,94
sub_separate_128kb_q0,sub_100,,,,5397617.0,ns,96
sub_separate_128kb_q0,sub_100,,,,6245843.0,ns,98
sub_separate_128kb_q0,sub_100,,,,5937561.0,ns,100
sub_separate_128kb_q0,sub_100,,,,6029168.0,ns,102
sub_separate_128kb_q0,sub_100,,,,5831022.0,ns,104
sub_separate_128kb_q0,sub_100,,,,6015748.0,ns,106
sub_separate_128kb_q0,sub_100,,,,6139528.0,ns,108
sub_separate_128kb_q0,sub_100,,,,6268495.0,ns,110
sub_separate_128kb_q0,sub_100,,,,6866932.0,ns,112
sub_separate_128kb_q0,sub_100,,,,6557275.0,ns,114
sub_separate_128kb_q0,sub_100,,,,6688134.0,ns,116
sub_separate_128kb_q0,sub_100,,,,6934718.0,ns,118
sub_separate_128kb_q0,sub_100,,,,7219398.0,ns,120
sub_separate_128kb_q0,sub_100,,,,7456018.0,ns,122
sub_separate_128kb_q0,sub_100,,,,6968799.0,ns,124
sub_separate_128kb_q0,sub_100,,,,7049773.0,ns,126
sub_separate_128kb_q0,sub_100,,,,7763898.0,ns,128
sub_separate_128kb_q0,sub_100,,,,7257788.0,ns,130
sub_separate_128kb_q0,sub_100,,,,7409051.0,ns,132
sub_separate_128kb_q0,sub_100,,,,7567218.0,ns,134
sub_separate_128kb_q0,sub_100,,,,8218291.0,ns,136
sub_separate_128kb_q0,sub_100,,,,7765681.0,ns,138
sub_separate_128kb_q0,sub_100,,,,7798571.0,ns,140
sub_separate_128kb_q0,sub_100,,,,7868612.0,ns,142
sub_separate_128kb_q0,sub_100,,,,7984770.0,ns,144
sub_separate_128kb_q0,sub_100,,,,8134139.0,ns,146
sub_separate_128kb_q0,sub_100,,,,8189916.0,ns,148
sub_separate_128kb_q0,sub_100,,,,8335090.0,ns,150
sub_separate_128kb_q0,sub_100,,,,8399311.0,ns,152
sub_separate_128kb_q0,sub_100,,,,8568413.0,ns,154
sub_separate_128kb_q0,sub_100,,,,10253542.0,ns,156
sub_separate_128kb_q0,sub_100,,,,9795587.0,ns,158
sub_separate_128kb_q0,sub_100,,,,8946742.0,ns,160
sub_separate_128kb_q0,sub_100,,,,8933366.0,ns,162
sub_separate_128kb_q0,sub_100,,,,9740072.0,ns,164
sub_separate_128kb_q0,sub_100,,,,11007562.0,ns,166
sub_separate_128kb_q0,sub_100,,,,9944713.0,ns,168
sub_separate_128kb_q0,sub_100,,,,10525061.0,ns,170
sub_separate_128kb_q0,sub_100,,,,11037900.0,ns,172
sub_separate_128kb_q0,sub_100,,,,9808350.0,ns,174
sub_separate_128kb_q0,sub_100,,,,10418894.0,ns,176
sub_separate_128kb_q0,sub_100,,,,10069737.0,ns,178
sub_separate_128kb_q0,sub_100,,,,11200068.0,ns,180
sub_separate_128kb_q0,sub_100,,,,10744348.0,ns,182
sub_separate_128kb_q0,sub_100,,,,10433447.0,ns,184
sub_separate_128kb_q0,sub_100,,,,10504534.0,ns,186
sub_separate_128kb_q0,sub_100,,,,10411218.0,ns,188
sub_separate_128kb_q0,sub_100,,,,10662728.0,ns,190
sub_separate_128kb_q0,sub_100,,,,11727568.0,ns,192
sub_separate_128kb_q0,sub_100,,,,11210989.0,ns,194
sub_separate_128kb_q0,sub_100,,,,11113480.0,ns,196
sub_separate_128kb_q0,sub_100,,,,11872556.0,ns,198
sub_separate_128kb_q0,sub_100,,,,12125021.0,ns,200
