group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sub_separate_1kb_q1,sub_100,,,,635392.0,ns,37
sub_separate_1kb_q1,sub_100,,,,1276850.0,ns,74
sub_separate_1kb_q1,sub_100,,,,2092125.0,ns,111
sub_separate_1kb_q1,sub_100,,,,2558680.0,ns,148
sub_separate_1kb_q1,sub_100,,,,3211340.0,ns,185
sub_separate_1kb_q1,sub_100,,,,3958143.0,ns,222
sub_separate_1kb_q1,sub_100,,,,4431425.0,ns,259
sub_separate_1kb_q1,sub_100,,,,5219294.0,ns,296
sub_separate_1kb_q1,sub_100,,,,6560723.0,ns,333
sub_separate_1kb_q1,sub_100,,,,7787415.0,ns,370
sub_separate_1kb_q1,sub_100,,,,7343356.0,ns,407
sub_separate_1kb_q1,sub_100,,,,7789677.0,ns,444
sub_separate_1kb_q1,sub_100,,,,8444868.0,ns,481
sub_separate_1kb_q1,sub_100,,,,9023254.0,ns,518
sub_separate_1kb_q1,sub_100,,,,9721058.0,ns,555
sub_separate_1kb_q1,sub_100,,,,10346532.0,ns,592
sub_separate_1kb_q1,sub_100,,,,10931489.0,ns,629
sub_separate_1kb_q1,sub_100,,,,11446273.0,ns,666
sub_separate_1kb_q1,sub_100,,,,12043254.0,ns,703
sub_separate_1kb_q1,sub_100,,,,12711079.0,ns,740
sub_separate_1kb_q1,sub_100,,,,13328878.0,ns,777
sub_separate_1kb_q1,sub_100,,,,27957760.0,ns,814
sub_separate_1kb_q1,sub_100,,,,17531457.0,ns,851
sub_separate_1kb_q1,sub_100,,,,18246158.0,ns,888
sub_separate_1kb_q1,sub_100,,,,19308324.0,ns,925
sub_separate_1kb_q1,sub_100,,,,19603077.0,ns,962
sub_separate_1kb_q1,sub_100,,,,19229294.0,ns,999
sub_separate_1kb_q1,sub_100,,,,21226303.0,ns,1036
sub_separate_1kb_q1,sub_100,,,,22471170.0,ns,1073
sub_separate_1kb_q1,sub_100,,,,20839883.0,ns,1110
sub_separate_1kb_q1,sub_100,,,,20724059.0,ns,1147
sub_separate_1kb_q1,sub_100,,,,20174220.0,ns,1184
sub_separate_1kb_q1,sub_100,,,,20814771.0,ns,1221
sub_separate_1kb_q1,sub_100,,,,21459938.0,ns,1258
sub_separate_1kb_q1,sub_100,,,,22190771.0,ns,1295
sub_separate_1kb_q1,sub_100,,,,22660534.0,ns,1332
sub_separate_1kb_q1,sub_100,,,,23533366.0,ns,1369
sub_separate_1kb_q1,sub_100,,,,29184650.0,ns,1406
sub_separate_1kb_q1,sub_100,,,,27375881.0,ns,1443
sub_separate_1kb_q1,sub_100,,,,28440078.0,ns,1480
sub_separate_1kb_q1,sub_100,,,,29456645.0,ns,1517
sub_separate_1kb_q1,sub_100,,,,30505735.0,ns,1554
sub_separate_1kb_q1,sub_100,,,,31737721.0,ns,1591
sub_separate_1kb_q1,sub_100,,,,31765253.0,ns,1628
sub_separate_1kb_q1,sub_100,,,,32956370.0,ns,1665
sub_separate_1kb_q1,sub_100,,,,33262509.0,ns,1702
sub_separate_1kb_q1,sub_100,,,,32548483.0,ns,1739
sub_separate_1kb_q1,sub_100,,,,30549334.0,ns,1776
sub_separate_1kb_q1,sub_100,,,,31102660.0,ns,1813
sub_separate_1kb_q1,sub_100,,,,32104192.0,ns,1850
sub_separate_1kb_q1,sub_100,,,,32480288.0,ns,1887
sub_separate_1kb_q1,sub_100,,,,33145178.0,ns,1924
sub_separate_1kb_q1,sub_100,,,,33924487.0,ns,1961
sub_separate_1kb_q1,sub_100,,,,34078557.0,ns,1998
sub_separate_1kb_q1,sub_100,,,,35019377.0,ns,2035
sub_separate_1kb_q1,sub_100,,,,35603098.0,ns,2072
sub_separate_1kb_q1,sub_100,,,,36238098.0,ns,2109
sub_separate_1kb_q1,sub_100,,,,36874962.0,ns,2146
sub_separate_1kb_q1,sub_100,,,,37545659.0,ns,2183
sub_separate_1kb_q1,sub_100,,,,38039810.0,ns,2220
sub_separate_1kb_q1,sub_100,,,,38620514.0,ns,2257
sub_separate_1kb_q1,sub_100,,,,39442796.0,ns,2294
sub_separate_1kb_q1,sub_100,,,,40047038.0,ns,2331
sub_separate_1kb_q1,sub_100,,,,40690937.0,ns,2368
sub_separate_1kb_q1,sub_100,,,,41407752.0,ns,2405
sub_separate_1kb_q1,sub_100,,,,56026836.0,ns,2442
sub_separate_1kb_q1,sub_100,,,,42653177.0,ns,2479
sub_separate_1kb_q1,sub_100,,,,43704931.0,ns,2516
sub_separate_1kb_q1,sub_100,,,,44421853.0,ns,2553
sub_separate_1kb_q1,sub_100,,,,44869270.0,ns,2590
sub_separate_1kb_q1,sub_100,,,,45670054.0,ns,2627
sub_separate_1kb_q1,sub_100,,,,45737644.0,ns,2664
sub_separate_1kb_q1,sub_100,,,,46420255.0,ns,2701
sub_separate_1kb_q1,sub_100,,,,47334619.0,ns,2738
sub_separate_1kb_q1,sub_100,,,,47880574.0,ns,2775
sub_separate_1kb_q1,sub_100,,,,51016300.0,ns,2812
sub_separate_1kb_q1,sub_100,,,,49833700.0,ns,2849
sub_separate_1kb_q1,sub_100,,,,50360467.0,ns,2886
sub_separate_1kb_q1,sub_100,,,,50500469.0,ns,2923
sub_separate_1kb_q1,sub_100,,,,51356015.0,ns,2960
sub_separate_1kb_q1,sub_100,,,,51507167.0,ns,2997
sub_separate_1kb_q1,sub_100,,,,52326608.0,ns,3034
sub_separate_1kb_q1,sub_100,,,,59352422.0,ns,3071
sub_separate_1kb_q1,sub_100,,,,54707682.0,ns,3108
sub_separate_1kb_q1,sub_100,,,,55155747.0,ns,3145
sub_separate_1kb_q1,sub_100,,,,55114037.0,ns,3182
sub_separate_1kb_q1,sub_100,,,,55150378.0,ns,3219
sub_separate_1kb_q1,sub_100,,,,55646619.0,ns,3256
sub_separate_1kb_q1,sub_100,,,,56241178.0,ns,3293
sub_separate_1kb_q1,sub_100,,,,57145714.0,ns,3330
