group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sub_separate_1mb_q1,sub_010,,,,32227.0,ns,1
sub_separate_1mb_q1,sub_010,,,,63192.0,ns,2
sub_separate_1mb_q1,sub_010,,,,87583.0,ns,3
sub_separate_1mb_q1,sub_010,,,,131583.0,ns,4
sub_separate_1mb_q1,sub_010,,,,171305.0,ns,5
sub_separate_1mb_q1,sub_010,,,,196874.0,ns,6
sub_separate_1mb_q1,sub_010,,,,221974.0,ns,7
sub_separate_1mb_q1,sub_010,,,,231043.0,ns,8
sub_separate_1mb_q1,sub_010,,,,285623.0,ns,9
sub_separate_1mb_q1,sub_010,,,,321348.0,ns,10
sub_separate_1mb_q1,sub_010,,,,322128.0,ns,11
sub_separate_1mb_q1,sub_010,,,,381015.0,ns,12
sub_separate_1mb_q1,sub_010,,,,401535.0,ns,13
sub_separate_1mb_q1,sub_010,,,,393653.0,ns,14
sub_separate_1mb_q1,sub_010,,,,416019.0,ns,15
sub_separate_1mb_q1,sub_010,,,,479960.0,ns,16
sub_separate_1mb_q1,sub_010,,,,546881.0,ns,17
sub_separate_1mb_q1,sub_010,,,,623500.0,ns,18
sub_separate_1mb_q1,sub_010,,,,670596.0,ns,19
sub_separate_1mb_q1,sub_010,,,,618052.0,ns,20
sub_separate_1mb_q1,sub_010,,,,617025.0,ns,21
sub_separate_1mb_q1,sub_010,,,,614965.0,ns,22
sub_separate_1mb_q1,sub_010,,,,717280.0,ns,23
sub_separate_1mb_q1,sub_010,,,,717377.0,ns,24
sub_separate_1mb_q1,sub_010,,,,772484.0,ns,25
sub_separate_1mb_q1,sub_010,,,,722842.0,ns,26
sub_separate_1mb_q1,sub_010,,,,791009.0,ns,27
sub_separate_1mb_q1,sub_010,,,,887389.0,ns,28
sub_separate_1mb_q1,sub_010,,,,829061.0,ns,29
sub_separate_1mb_q1,sub_010,,,,842866.0,ns,30
sub_separate_1mb_q1,sub_010,,,,960876.0,ns,31
sub_separate_1mb_q1,sub_010,,,,915996.0,ns,32
sub_separate_1mb_q1,sub_010,,,,833733.0,ns,33
sub_separate_1mb_q1,sub_010,,,,979716.0,ns,34
sub_separate_1mb_q1,sub_010,,,,981954.0,ns,35
sub_separate_1mb_q1,sub_010,,,,945869.0,ns,36
sub_separate_1mb_q1,sub_010,,,,1142113.0,ns,37
sub_separate_1mb_q1,sub_010,,,,1207901.0,ns,38
sub_separate_1mb_q1,sub_010,,,,1243821.0,ns,39
sub_separate_1mb_q1,sub_010,,,,1194391.0,ns,40
sub_separate_1mb_q1,sub_010,,,,1221789.0,ns,41
sub_separate_1mb_q1,sub_010,,,,1246451.0,ns,42
sub_separate_1mb_q1,sub_010,,,,1455990.0,ns,43
sub_separate_1mb_q1,sub_010,,,,932304.0,ns,44
sub_separate_1mb_q1,sub_010,,,,333974.0,ns,45
sub_separate_1mb_q1,sub_010,,,,364974.0,ns,46
