group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sub_separate_1mb_q1,sub_050,,,,62861.0,ns,1
sub_separate_1mb_q1,sub_050,,,,140304.0,ns,2
sub_separate_1mb_q1,sub_050,,,,181538.0,ns,3
sub_separate_1mb_q1,sub_050,,,,246906.0,ns,4
sub_separate_1mb_q1,sub_050,,,,275645.0,ns,5
sub_separate_1mb_q1,sub_050,,,,334168.0,ns,6
sub_separate_1mb_q1,sub_050,,,,349460.0,ns,7
sub_separate_1mb_q1,sub_050,,,,424799.0,ns,8
sub_separate_1mb_q1,sub_050,,,,525079.0,ns,9
sub_separate_1mb_q1,sub_050,,,,523269.0,ns,10
sub_separate_1mb_q1,sub_050,,,,548332.0,ns,11
sub_separate_1mb_q1,sub_050,,,,611477.0,ns,12
sub_separate_1mb_q1,sub_050,,,,581109.0,ns,13
sub_separate_1mb_q1,sub_050,,,,696253.0,ns,14
sub_separate_1mb_q1,sub_050,,,,741706.0,ns,15
sub_separate_1mb_q1,sub_050,,,,797708.0,ns,16
sub_separate_1mb_q1,sub_050,,,,866162.0,ns,17
sub_separate_1mb_q1,sub_050,,,,914037.0,ns,18
sub_separate_1mb_q1,sub_050,,,,1004043.0,ns,19
sub_separate_1mb_q1,sub_050,,,,1026003.0,ns,20
sub_separate_1mb_q1,sub_050,,,,1153184.0,ns,21
sub_separate_1mb_q1,sub_050,,,,1315851.0,ns,22
sub_separate_1mb_q1,sub_050,,,,1216021.0,ns,23
sub_separate_1mb_q1,sub_050,,,,1272968.0,ns,24
sub_separate_1mb_q1,sub_050,,,,1338943.0,ns,25
sub_separate_1mb_q1,sub_050,,,,1357345.0,ns,26
sub_separate_1mb_q1,sub_050,,,,1397524.0,ns,27
sub_separate_1mb_q1,sub_050,,,,1526761.0,ns,28
sub_separate_1mb_q1,sub_050,,,,1440750.0,ns,29
sub_separate_1mb_q1,sub_050,,,,1627978.0,ns,30
sub_separate_1mb_q1,sub_050,,,,1663813.0,ns,31
sub_separate_1mb_q1,sub_050,,,,1724190.0,ns,32
sub_separate_1mb_q1,sub_050,,,,1773908.0,ns,33
sub_separate_1mb_q1,sub_050,,,,1888672.0,ns,34
sub_separate_1mb_q1,sub_050,,,,1817652.0,ns,35
sub_separate_1mb_q1,sub_050,,,,1899416.0,ns,36
sub_separate_1mb_q1,sub_050,,,,1929249.0,ns,37
sub_separate_1mb_q1,sub_050,,,,2002934.0,ns,38
sub_separate_1mb_q1,sub_050,,,,2106166.0,ns,39
sub_separate_1mb_q1,sub_050,,,,2132567.0,ns,40
sub_separate_1mb_q1,sub_050,,,,2190572.0,ns,41
sub_separate_1mb_q1,sub_050,,,,1965395.0,ns,42
sub_separate_1mb_q1,sub_050,,,,2260747.0,ns,43
sub_separate_1mb_q1,sub_050,,,,2260290.0,ns,44
sub_separate_1mb_q1,sub_050,,,,2596461.0,ns,45
sub_separate_1mb_q1,sub_050,,,,2711879.0,ns,46
sub_separate_1mb_q1,sub_050,,,,2737169.0,ns,47
sub_separate_1mb_q1,sub_050,,,,2569866.0,ns,48
sub_separate_1mb_q1,sub_050,,,,2532608.0,ns,49
sub_separate_1mb_q1,sub_050,,,,2597987.0,ns,50
sub_separate_1mb_q1,sub_050,,,,2889620.0,ns,51
sub_separate_1mb_q1,sub_050,,,,2671741.0,ns,52
sub_separate_1mb_q1,sub_050,,,,2788554.0,ns,53
sub_separate_1mb_q1,sub_050,,,,2782695.0,ns,54
sub_separate_1mb_q1,sub_050,,,,2850206.0,ns,55
sub_separate_1mb_q1,sub_050,,,,2935721.0,ns,56
sub_separate_1mb_q1,sub_050,,,,3010765.0,ns,57
sub_separate_1mb_q1,sub_050,,,,3076001.0,ns,58
sub_separate_1mb_q1,sub_050,,,,3178964.0,ns,59
sub_separate_1mb_q1,sub_050,,,,3226403.0,ns,60
sub_separate_1mb_q1,sub_050,,,,3253746.0,ns,61
sub_separate_1mb_q1,sub_050,,,,3027592.0,ns,62
sub_separate_1mb_q1,sub_050,,,,1158328.0,ns,63
sub_separate_1mb_q1,sub_050,,,,1143000.0,ns,64
sub_separate_1mb_q1,sub_050,,,,1275285.0,ns,65
sub_separate_1mb_q1,sub_050,,,,1482975.0,ns,66
sub_separate_1mb_q1,sub_050,,,,3572285.0,ns,67
sub_separate_1mb_q1,sub_050,,,,3698938.0,ns,68
sub_separate_1mb_q1,sub_050,,,,4140767.0,ns,69
sub_separate_1mb_q1,sub_050,,,,3626968.0,ns,70
sub_separate_1mb_q1,sub_050,,,,3727661.0,ns,71
sub_separate_1mb_q1,sub_050,,,,3749435.0,ns,72
sub_separate_1mb_q1,sub_050,,,,3746969.0,ns,73
sub_separate_1mb_q1,sub_050,,,,3856366.0,ns,74
sub_separate_1mb_q1,sub_050,,,,4010797.0,ns,75
sub_separate_1mb_q1,sub_050,,,,4012739.0,ns,76
sub_separate_1mb_q1,sub_050,,,,4052938.0,ns,77
sub_separate_1mb_q1,sub_050,,,,4112848.0,ns,78
sub_separate_1mb_q1,sub_050,,,,4124044.0,ns,79
sub_separate_1mb_q1,sub_050,,,,4052774.0,ns,80
sub_separate_1mb_q1,sub_050,,,,4125676.0,ns,81
sub_separate_1mb_q1,sub_050,,,,4254917.0,ns,82
sub_separate_1mb_q1,sub_050,,,,4418888.0,ns,83
sub_separate_1mb_q1,sub_050,,,,4536606.0,ns,84
sub_separate_1mb_q1,sub_050,,,,4477055.0,ns,85
sub_separate_1mb_q1,sub_050,,,,4798580.0,ns,86
sub_separate_1mb_q1,sub_050,,,,4604570.0,ns,87
sub_separate_1mb_q1,sub_050,,,,4720005.0,ns,88
sub_separate_1mb_q1,sub_050,,,,4644023.0,ns,89
sub_separate_1mb_q1,sub_050,,,,4694712.0,ns,90
sub_separate_1mb_q1,sub_050,,,,4938099.0,ns,91
sub_separate_1mb_q1,sub_050,,,,4936315.0,ns,92
sub_separate_1mb_q1,sub_050,,,,4636803.0,ns,93
sub_separate_1mb_q1,sub_050,,,,4947676.0,ns,94
sub_separate_1mb_q1,sub_050,,,,5026499.0,ns,95
sub_separate_1mb_q1,sub_050,,,,5080672.0,ns,96
sub_separate_1mb_q1,sub_050,,,,5030275.0,ns,97
sub_separate_1mb_q1,sub_050,,,,5498501.0,ns,98
sub_separate_1mb_q1,sub_050,,,,5299116.0,ns,99
sub_separate_1mb_q1,sub_050,,,,5314669.0,ns,100
