group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sub_separate_32b_q0,sub_010,,,,518313.0,ns,182
sub_separate_32b_q0,sub_010,,,,1040672.0,ns,364
sub_separate_32b_q0,sub_010,,,,1381691.0,ns,546
sub_separate_32b_q0,sub_010,,,,2728777.0,ns,728
sub_separate_32b_q0,sub_010,,,,3651153.0,ns,910
sub_separate_32b_q0,sub_010,,,,4372399.0,ns,1092
sub_separate_32b_q0,sub_010,,,,4344129.0,ns,1274
sub_separate_32b_q0,sub_010,,,,4407111.0,ns,1456
sub_separate_32b_q0,sub_010,,,,4445395.0,ns,1638
sub_separate_32b_q0,sub_010,,,,7186812.0,ns,1820
sub_separate_32b_q0,sub_010,,,,5816675.0,ns,2002
sub_separate_32b_q0,sub_010,,,,6948673.0,ns,2184
sub_separate_32b_q0,sub_010,,,,8104980.0,ns,2366
sub_separate_32b_q0,sub_010,,,,9927940.0,ns,2548
sub_separate_32b_q0,sub_010,,,,9141106.0,ns,2730
sub_separate_32b_q0,sub_010,,,,11231308.0,ns,2912
sub_separate_32b_q0,sub_010,,,,10897479.0,ns,3094
sub_separate_32b_q0,sub_010,,,,11311452.0,ns,3276
sub_separate_32b_q0,sub_010,,,,13601539.0,ns,3458
sub_separate_32b_q0,sub_010,,,,14489636.0,ns,3640
sub_separate_32b_q0,sub_010,,,,13838813.0,ns,3822
sub_separate_32b_q0,sub_010,,,,12983437.0,ns,4004
sub_separate_32b_q0,sub_010,,,,12956011.0,ns,4186
sub_separate_32b_q0,sub_010,,,,11748189.0,ns,4368
sub_separate_32b_q0,sub_010,,,,13098043.0,ns,4550
sub_separate_32b_q0,sub_010,,,,17241779.0,ns,4732
sub_separate_32b_q0,sub_010,,,,17448591.0,ns,4914
sub_separate_32b_q0,sub_010,,,,19355563.0,ns,5096
sub_separate_32b_q0,sub_010,,,,14672832.0,ns,5278
sub_separate_32b_q0,sub_010,,,,16827998.0,ns,5460
sub_separate_32b_q0,sub_010,,,,17123122.0,ns,5642
sub_separate_32b_q0,sub_010,,,,19402308.0,ns,5824
sub_separate_32b_q0,sub_010,,,,20424981.0,ns,6006
sub_separate_32b_q0,sub_010,,,,22881069.0,ns,6188
sub_separate_32b_q0,sub_010,,,,21905835.0,ns,6370
sub_separate_32b_q0,sub_010,,,,23213230.0,ns,6552
sub_separate_32b_q0,sub_010,,,,20932877.0,ns,6734
sub_separate_32b_q0,sub_010,,,,27629070.0,ns,6916
sub_separate_32b_q0,sub_010,,,,20499081.0,ns,7098
sub_separate_32b_q0,sub_010,,,,18779557.0,ns,7280
sub_separate_32b_q0,sub_010,,,,20452139.0,ns,7462
sub_separate_32b_q0,sub_010,,,,25499424.0,ns,7644
sub_separate_32b_q0,sub_010,,,,28859246.0,ns,7826
sub_separate_32b_q0,sub_010,,,,23995032.0,ns,8008
sub_separate_32b_q0,sub_010,,,,22571186.0,ns,8190
sub_separate_32b_q0,sub_010,,,,21988198.0,ns,8372
sub_separate_32b_q0,sub_010,,,,22700514.0,ns,8554
sub_separate_32b_q0,sub_010,,,,23023236.0,ns,8736
sub_separate_32b_q0,sub_010,,,,23128476.0,ns,8918
sub_separate_32b_q0,sub_010,,,,23464505.0,ns,9100
sub_separate_32b_q0,sub_010,,,,24733488.0,ns,9282
sub_separate_32b_q0,sub_010,,,,24451819.0,ns,9464
sub_separate_32b_q0,sub_010,,,,25496112.0,ns,9646
sub_separate_32b_q0,sub_010,,,,25133446.0,ns,9828
sub_separate_32b_q0,sub_010,,,,27555862.0,ns,10010
sub_separate_32b_q0,sub_010,,,,27707852.0,ns,10192
sub_separate_32b_q0,sub_010,,,,26684644.0,ns,10374
sub_separate_32b_q0,sub_010,,,,27193593.0,ns,10556
sub_separate_32b_q0,sub_010,,,,29098904.0,ns,10738
sub_separate_32b_q0,sub_010,,,,29703064.0,ns,10920
sub_separate_32b_q0,sub_010,,,,29166266.0,ns,11102
sub_separate_32b_q0,sub_010,,,,30150285.0,ns,11284
sub_separate_32b_q0,sub_010,,,,31516073.0,ns,11466
sub_separate_32b_q0,sub_010,,,,31405825.0,ns,11648
sub_separate_32b_q0,sub_010,,,,33078743.0,ns,11830
sub_separate_32b_q0,sub_010,,,,33162945.0,ns,12012
sub_separate_32b_q0,sub_010,,,,32557699.0,ns,12194
sub_separate_32b_q0,sub_010,,,,39040823.0,ns,12376
sub_separate_32b_q0,sub_010,,,,33377843.0,ns,12558
sub_separate_32b_q0,sub_010,,,,34497290.0,ns,12740
sub_separate_32b_q0,sub_010,,,,41904592.0,ns,12922
sub_separate_32b_q0,sub_010,,,,42773482.0,ns,13104
sub_separate_32b_q0,sub_010,,,,48355077.0,ns,13286
sub_separate_32b_q0,sub_010,,,,36262952.0,ns,13468
sub_separate_32b_q0,sub_010,,,,44197837.0,ns,13650
sub_separate_32b_q0,sub_010,,,,35800581.0,ns,13832
sub_separate_32b_q0,sub_010,,,,39761910.0,ns,14014
sub_separate_32b_q0,sub_010,,,,39240591.0,ns,14196
sub_separate_32b_q0,sub_010,,,,40146685.0,ns,14378
sub_separate_32b_q0,sub_010,,,,42374996.0,ns,14560
sub_separate_32b_q0,sub_010,,,,43303701.0,ns,14742
sub_separate_32b_q0,sub_010,,,,42492201.0,ns,14924
sub_separate_32b_q0,sub_010,,,,39989744.0,ns,15106
sub_separate_32b_q0,sub_010,,,,43150059.0,ns,15288
