group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sub_separate_32b_q0,sub_050,,,,767411.0,ns,88
sub_separate_32b_q0,sub_050,,,,1770167.0,ns,176
sub_separate_32b_q0,sub_050,,,,2861455.0,ns,264
sub_separate_32b_q0,sub_050,,,,3494832.0,ns,352
sub_separate_32b_q0,sub_050,,,,3817230.0,ns,440
sub_separate_32b_q0,sub_050,,,,4594300.0,ns,528
sub_separate_32b_q0,sub_050,,,,5390909.0,ns,616
sub_separate_32b_q0,sub_050,,,,6108316.0,ns,704
sub_separate_32b_q0,sub_050,,,,7061409.0,ns,792
sub_separate_32b_q0,sub_050,,,,7610976.0,ns,880
sub_separate_32b_q0,sub_050,,,,9852594.0,ns,968
sub_separate_32b_q0,sub_050,,,,11575689.0,ns,1056
sub_separate_32b_q0,sub_050,,,,10594412.0,ns,1144
sub_separate_32b_q0,sub_050,,,,10819227.0,ns,1232
sub_separate_32b_q0,sub_050,,,,11632832.0,ns,1320
sub_separate_32b_q0,sub_050,,,,12422991.0,ns,1408
sub_separate_32b_q0,sub_050,,,,15072470.0,ns,1496
sub_separate_32b_q0,sub_050,,,,14780620.0,ns,1584
sub_separate_32b_q0,sub_050,,,,14432707.0,ns,1672
sub_separate_32b_q0,sub_050,,,,15277910.0,ns,1760
sub_separate_32b_q0,sub_050,,,,16079131.0,ns,1848
sub_separate_32b_q0,sub_050,,,,16699642.0,ns,1936
sub_separate_32b_q0,sub_050,,,,17523556.0,ns,2024
sub_separate_32b_q0,sub_050,,,,18332062.0,ns,2112
sub_separate_32b_q0,sub_050,,,,19067384.0,ns,2200
sub_separate_32b_q0,sub_050,,,,19872836.0,ns,2288
sub_separate_32b_q0,sub_050,,,,20651969.0,ns,2376
sub_separate_32b_q0,sub_050,,,,21661179.0,ns,2464
sub_separate_32b_q0,sub_050,,,,22646902.0,ns,2552
sub_separate_32b_q0,sub_050,,,,22862637.0,ns,2640
sub_separate_32b_q0,sub_050,,,,23518314.0,ns,2728
sub_separate_32b_q0,sub_050,,,,24443027.0,ns,2816
sub_separate_32b_q0,sub_050,,,,25360243.0,ns,2904
sub_separate_32b_q0,sub_050,,,,26004323.0,ns,2992
sub_separate_32b_q0,sub_050,,,,31429791.0,ns,3080
sub_separate_32b_q0,sub_050,,,,27997423.0,ns,3168
sub_separate_32b_q0,sub_050,,,,28367262.0,ns,3256
sub_separate_32b_q0,sub_050,,,,29266929.0,ns,3344
sub_separate_32b_q0,sub_050,,,,30132438.0,ns,3432
sub_separate_32b_q0,sub_050,,,,30781422.0,ns,3520
sub_separate_32b_q0,sub_050,,,,31532479.0,ns,3608
sub_separate_32b_q0,sub_050,,,,32096465.0,ns,3696
sub_separate_32b_q0,sub_050,,,,33111979.0,ns,3784
sub_separate_32b_q0,sub_050,,,,39039634.0,ns,3872
sub_separate_32b_q0,sub_050,,,,39237630.0,ns,3960
sub_separate_32b_q0,sub_050,,,,38909750.0,ns,4048
sub_separate_32b_q0,sub_050,,,,37448316.0,ns,4136
sub_separate_32b_q0,sub_050,,,,36577990.0,ns,4224
sub_separate_32b_q0,sub_050,,,,38756804.0,ns,4312
sub_separate_32b_q0,sub_050,,,,39674146.0,ns,4400
sub_separate_32b_q0,sub_050,,,,39761187.0,ns,4488
sub_separate_32b_q0,sub_050,,,,39780356.0,ns,4576
sub_separate_32b_q0,sub_050,,,,41160277.0,ns,4664
sub_separate_32b_q0,sub_050,,,,41219979.0,ns,4752
sub_separate_32b_q0,sub_050,,,,42470067.0,ns,4840
sub_separate_32b_q0,sub_050,,,,43227094.0,ns,4928
sub_separate_32b_q0,sub_050,,,,43744363.0,ns,5016
sub_separate_32b_q0,sub_050,,,,44366159.0,ns,5104
sub_separate_32b_q0,sub_050,,,,45064178.0,ns,5192
sub_separate_32b_q0,sub_050,,,,45760222.0,ns,5280
sub_separate_32b_q0,sub_050,,,,46657008.0,ns,5368
sub_separate_32b_q0,sub_050,,,,58568324.0,ns,5456
sub_separate_32b_q0,sub_050,,,,49966006.0,ns,5544
sub_separate_32b_q0,sub_050,,,,48922610.0,ns,5632
sub_separate_32b_q0,sub_050,,,,49500464.0,ns,5720
sub_separate_32b_q0,sub_050,,,,51003510.0,ns,5808
sub_separate_32b_q0,sub_050,,,,50910107.0,ns,5896
sub_separate_32b_q0,sub_050,,,,51741811.0,ns,5984
sub_separate_32b_q0,sub_050,,,,55251733.0,ns,6072
sub_separate_32b_q0,sub_050,,,,65436680.0,ns,6160
sub_separate_32b_q0,sub_050,,,,60119472.0,ns,6248
sub_separate_32b_q0,sub_050,,,,54829228.0,ns,6336
sub_separate_32b_q0,sub_050,,,,55673877.0,ns,6424
sub_separate_32b_q0,sub_050,,,,58250273.0,ns,6512
sub_separate_32b_q0,sub_050,,,,63530055.0,ns,6600
sub_separate_32b_q0,sub_050,,,,58676475.0,ns,6688
sub_separate_32b_q0,sub_050,,,,58463018.0,ns,6776
sub_separate_32b_q0,sub_050,,,,60360678.0,ns,6864
sub_separate_32b_q0,sub_050,,,,60262182.0,ns,6952
sub_separate_32b_q0,sub_050,,,,60714008.0,ns,7040
sub_separate_32b_q0,sub_050,,,,67318077.0,ns,7128
sub_separate_32b_q0,sub_050,,,,68943629.0,ns,7216
sub_separate_32b_q0,sub_050,,,,67822650.0,ns,7304
sub_separate_32b_q0,sub_050,,,,65279692.0,ns,7392
sub_separate_32b_q0,sub_050,,,,65276279.0,ns,7480
sub_separate_32b_q0,sub_050,,,,66325558.0,ns,7568
sub_separate_32b_q0,sub_050,,,,73813494.0,ns,7656
sub_separate_32b_q0,sub_050,,,,76941298.0,ns,7744
sub_separate_32b_q0,sub_050,,,,67749750.0,ns,7832
sub_separate_32b_q0,sub_050,,,,76090158.0,ns,7920
sub_separate_32b_q0,sub_050,,,,69349086.0,ns,8008
sub_separate_32b_q0,sub_050,,,,70360311.0,ns,8096
sub_separate_32b_q0,sub_050,,,,71587666.0,ns,8184
sub_separate_32b_q0,sub_050,,,,71984044.0,ns,8272
sub_separate_32b_q0,sub_050,,,,72795262.0,ns,8360
sub_separate_32b_q0,sub_050,,,,73822024.0,ns,8448
sub_separate_32b_q0,sub_050,,,,76969296.0,ns,8536
sub_separate_32b_q0,sub_050,,,,76007985.0,ns,8624
sub_separate_32b_q0,sub_050,,,,75698858.0,ns,8712
sub_separate_32b_q0,sub_050,,,,77004491.0,ns,8800
