group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sub_shared_128kb_q1,sub_010,,,,59236.0,ns,2
sub_shared_128kb_q1,sub_010,,,,164240.0,ns,4
sub_shared_128kb_q1,sub_010,,,,186713.0,ns,6
sub_shared_128kb_q1,sub_010,,,,230619.0,ns,8
sub_shared_128kb_q1,sub_010,,,,291378.0,ns,10
sub_shared_128kb_q1,sub_010,,,,349775.0,ns,12
sub_shared_128kb_q1,sub_010,,,,399346.0,ns,14
sub_shared_128kb_q1,sub_010,,,,450668.0,ns,16
sub_shared_128kb_q1,sub_010,,,,484055.0,ns,18
sub_shared_128kb_q1,sub_010,,,,592629.0,ns,20
sub_shared_128kb_q1,sub_010,,,,585055.0,ns,22
sub_shared_128kb_q1,sub_010,,,,637706.0,ns,24
sub_shared_128kb_q1,sub_010,,,,730902.0,ns,26
sub_shared_128kb_q1,sub_010,,,,795576.0,ns,28
sub_shared_128kb_q1,sub_010,,,,1005336.0,ns,30
sub_shared_128kb_q1,sub_010,,,,1049177.0,ns,32
sub_shared_128kb_q1,sub_010,,,,984859.0,ns,34
sub_shared_128kb_q1,sub_010,,,,996250.0,ns,36
sub_shared_128kb_q1,sub_010,,,,1119880.0,ns,38
sub_shared_128kb_q1,sub_010,,,,1393544.0,ns,40
sub_shared_128kb_q1,sub_010,,,,1174412.0,ns,42
sub_shared_128kb_q1,sub_010,,,,1222733.0,ns,44
sub_shared_128kb_q1,sub_010,,,,1321491.0,ns,46
sub_shared_128kb_q1,sub_010,,,,1414969.0,ns,48
sub_shared_128kb_q1,sub_010,,,,1728532.0,ns,50
sub_shared_128kb_q1,sub_010,,,,1471604.0,ns,52
sub_shared_128kb_q1,sub_010,,,,1539340.0,ns,54
sub_shared_128kb_q1,sub_010,,,,1595778.0,ns,56
sub_shared_128kb_q1,sub_010,,,,1667693.0,ns,58
sub_shared_128kb_q1,sub_010,,,,1984016.0,ns,60
sub_shared_128kb_q1,sub_010,,,,1964635.0,ns,62
sub_shared_128kb_q1,sub_010,,,,2095089.0,ns,64
sub_shared_128kb_q1,sub_010,,,,2114271.0,ns,66
sub_shared_128kb_q1,sub_010,,,,2311266.0,ns,68
sub_shared_128kb_q1,sub_010,,,,2207264.0,ns,70
sub_shared_128kb_q1,sub_010,,,,2294261.0,ns,72
sub_shared_128kb_q1,sub_010,,,,2137308.0,ns,74
sub_shared_128kb_q1,sub_010,,,,2357548.0,ns,76
sub_shared_128kb_q1,sub_010,,,,2517526.0,ns,78
sub_shared_128kb_q1,sub_010,,,,2590089.0,ns,80
sub_shared_128kb_q1,sub_010,,,,2735713.0,ns,82
sub_shared_128kb_q1,sub_010,,,,2471004.0,ns,84
sub_shared_128kb_q1,sub_010,,,,2498260.0,ns,86
sub_shared_128kb_q1,sub_010,,,,2441475.0,ns,88
sub_shared_128kb_q1,sub_010,,,,2524950.0,ns,90
sub_shared_128kb_q1,sub_010,,,,3003138.0,ns,92
sub_shared_128kb_q1,sub_010,,,,3015682.0,ns,94
sub_shared_128kb_q1,sub_010,,,,2980655.0,ns,96
sub_shared_128kb_q1,sub_010,,,,3179227.0,ns,98
sub_shared_128kb_q1,sub_010,,,,2875237.0,ns,100
sub_shared_128kb_q1,sub_010,,,,2819476.0,ns,102
sub_shared_128kb_q1,sub_010,,,,2983811.0,ns,104
sub_shared_128kb_q1,sub_010,,,,3094342.0,ns,106
sub_shared_128kb_q1,sub_010,,,,3023065.0,ns,108
sub_shared_128kb_q1,sub_010,,,,3005584.0,ns,110
sub_shared_128kb_q1,sub_010,,,,3197532.0,ns,112
sub_shared_128kb_q1,sub_010,,,,3216736.0,ns,114
sub_shared_128kb_q1,sub_010,,,,3348784.0,ns,116
sub_shared_128kb_q1,sub_010,,,,3623223.0,ns,118
sub_shared_128kb_q1,sub_010,,,,3438640.0,ns,120
sub_shared_128kb_q1,sub_010,,,,2853942.0,ns,122
sub_shared_128kb_q1,sub_010,,,,3362252.0,ns,124
sub_shared_128kb_q1,sub_010,,,,3560216.0,ns,126
sub_shared_128kb_q1,sub_010,,,,3925769.0,ns,128
sub_shared_128kb_q1,sub_010,,,,4256194.0,ns,130
sub_shared_128kb_q1,sub_010,,,,4416106.0,ns,132
sub_shared_128kb_q1,sub_010,,,,4274601.0,ns,134
sub_shared_128kb_q1,sub_010,,,,4324727.0,ns,136
sub_shared_128kb_q1,sub_010,,,,3973869.0,ns,138
sub_shared_128kb_q1,sub_010,,,,4032024.0,ns,140
sub_shared_128kb_q1,sub_010,,,,4142706.0,ns,142
sub_shared_128kb_q1,sub_010,,,,4338367.0,ns,144
sub_shared_128kb_q1,sub_010,,,,4113666.0,ns,146
sub_shared_128kb_q1,sub_010,,,,4242129.0,ns,148
sub_shared_128kb_q1,sub_010,,,,4244973.0,ns,150
sub_shared_128kb_q1,sub_010,,,,4354482.0,ns,152
