group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sub_shared_1kb_q1,sub_010,,,,541372.0,ns,48
sub_shared_1kb_q1,sub_010,,,,1069976.0,ns,96
sub_shared_1kb_q1,sub_010,,,,1475562.0,ns,144
sub_shared_1kb_q1,sub_010,,,,1828226.0,ns,192
sub_shared_1kb_q1,sub_010,,,,2581373.0,ns,240
sub_shared_1kb_q1,sub_010,,,,3209301.0,ns,288
sub_shared_1kb_q1,sub_010,,,,3950413.0,ns,336
sub_shared_1kb_q1,sub_010,,,,4252593.0,ns,384
sub_shared_1kb_q1,sub_010,,,,4999123.0,ns,432
sub_shared_1kb_q1,sub_010,,,,5446533.0,ns,480
sub_shared_1kb_q1,sub_010,,,,6001275.0,ns,528
sub_shared_1kb_q1,sub_010,,,,6398063.0,ns,576
sub_shared_1kb_q1,sub_010,,,,7094338.0,ns,624
sub_shared_1kb_q1,sub_010,,,,7653140.0,ns,672
sub_shared_1kb_q1,sub_010,,,,8065796.0,ns,720
sub_shared_1kb_q1,sub_010,,,,8687486.0,ns,768
sub_shared_1kb_q1,sub_010,,,,8948159.0,ns,816
sub_shared_1kb_q1,sub_010,,,,9848868.0,ns,864
sub_shared_1kb_q1,sub_010,,,,10384125.0,ns,912
sub_shared_1kb_q1,sub_010,,,,10942167.0,ns,960
sub_shared_1kb_q1,sub_010,,,,11438148.0,ns,1008
sub_shared_1kb_q1,sub_010,,,,12792690.0,ns,1056
sub_shared_1kb_q1,sub_010,,,,13221821.0,ns,1104
sub_shared_1kb_q1,sub_010,,,,13058205.0,ns,1152
sub_shared_1kb_q1,sub_010,,,,12342627.0,ns,1200
sub_shared_1kb_q1,sub_010,,,,14136119.0,ns,1248
sub_shared_1kb_q1,sub_010,,,,14645191.0,ns,1296
sub_shared_1kb_q1,sub_010,,,,15115692.0,ns,1344
sub_shared_1kb_q1,sub_010,,,,14930784.0,ns,1392
sub_shared_1kb_q1,sub_010,,,,16571647.0,ns,1440
sub_shared_1kb_q1,sub_010,,,,16585480.0,ns,1488
sub_shared_1kb_q1,sub_010,,,,17289952.0,ns,1536
sub_shared_1kb_q1,sub_010,,,,16830383.0,ns,1584
sub_shared_1kb_q1,sub_010,,,,18204587.0,ns,1632
sub_shared_1kb_q1,sub_010,,,,18923266.0,ns,1680
sub_shared_1kb_q1,sub_010,,,,19215867.0,ns,1728
sub_shared_1kb_q1,sub_010,,,,20157399.0,ns,1776
sub_shared_1kb_q1,sub_010,,,,20799088.0,ns,1824
sub_shared_1kb_q1,sub_010,,,,21393379.0,ns,1872
sub_shared_1kb_q1,sub_010,,,,21765778.0,ns,1920
sub_shared_1kb_q1,sub_010,,,,22480477.0,ns,1968
sub_shared_1kb_q1,sub_010,,,,22558612.0,ns,2016
sub_shared_1kb_q1,sub_010,,,,23363338.0,ns,2064
sub_shared_1kb_q1,sub_010,,,,17722809.0,ns,2112
sub_shared_1kb_q1,sub_010,,,,23634925.0,ns,2160
sub_shared_1kb_q1,sub_010,,,,25683898.0,ns,2208
sub_shared_1kb_q1,sub_010,,,,24513597.0,ns,2256
sub_shared_1kb_q1,sub_010,,,,23567072.0,ns,2304
sub_shared_1kb_q1,sub_010,,,,26421959.0,ns,2352
sub_shared_1kb_q1,sub_010,,,,27020370.0,ns,2400
sub_shared_1kb_q1,sub_010,,,,26505885.0,ns,2448
sub_shared_1kb_q1,sub_010,,,,28327683.0,ns,2496
sub_shared_1kb_q1,sub_010,,,,28504443.0,ns,2544
sub_shared_1kb_q1,sub_010,,,,29467951.0,ns,2592
sub_shared_1kb_q1,sub_010,,,,29975362.0,ns,2640
sub_shared_1kb_q1,sub_010,,,,34136871.0,ns,2688
sub_shared_1kb_q1,sub_010,,,,38585143.0,ns,2736
sub_shared_1kb_q1,sub_010,,,,30966502.0,ns,2784
sub_shared_1kb_q1,sub_010,,,,31665691.0,ns,2832
sub_shared_1kb_q1,sub_010,,,,33832670.0,ns,2880
