group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sub_shared_1mb_q0,sub_050,,,,138270.0,ns,1
sub_shared_1mb_q0,sub_050,,,,310989.0,ns,2
sub_shared_1mb_q0,sub_050,,,,517506.0,ns,3
sub_shared_1mb_q0,sub_050,,,,727390.0,ns,4
sub_shared_1mb_q0,sub_050,,,,762112.0,ns,5
sub_shared_1mb_q0,sub_050,,,,867298.0,ns,6
sub_shared_1mb_q0,sub_050,,,,981449.0,ns,7
sub_shared_1mb_q0,sub_050,,,,1078696.0,ns,8
sub_shared_1mb_q0,sub_050,,,,1115845.0,ns,9
sub_shared_1mb_q0,sub_050,,,,1482734.0,ns,10
sub_shared_1mb_q0,sub_050,,,,1695474.0,ns,11
sub_shared_1mb_q0,sub_050,,,,2131314.0,ns,12
sub_shared_1mb_q0,sub_050,,,,1876190.0,ns,13
sub_shared_1mb_q0,sub_050,,,,2113636.0,ns,14
sub_shared_1mb_q0,sub_050,,,,2215000.0,ns,15
sub_shared_1mb_q0,sub_050,,,,2459382.0,ns,16
sub_shared_1mb_q0,sub_050,,,,2380650.0,ns,17
sub_shared_1mb_q0,sub_050,,,,2789924.0,ns,18
sub_shared_1mb_q0,sub_050,,,,2616996.0,ns,19
sub_shared_1mb_q0,sub_050,,,,2887439.0,ns,20
sub_shared_1mb_q0,sub_050,,,,2945630.0,ns,21
sub_shared_1mb_q0,sub_050,,,,2979607.0,ns,22
sub_shared_1mb_q0,sub_050,,,,3130069.0,ns,23
sub_shared_1mb_q0,sub_050,,,,3096515.0,ns,24
sub_shared_1mb_q0,sub_050,,,,3213889.0,ns,25
sub_shared_1mb_q0,sub_050,,,,3653400.0,ns,26
sub_shared_1mb_q0,sub_050,,,,3556355.0,ns,27
sub_shared_1mb_q0,sub_050,,,,3314616.0,ns,28
sub_shared_1mb_q0,sub_050,,,,3678749.0,ns,29
sub_shared_1mb_q0,sub_050,,,,4268216.0,ns,30
sub_shared_1mb_q0,sub_050,,,,4047079.0,ns,31
sub_shared_1mb_q0,sub_050,,,,3929395.0,ns,32
sub_shared_1mb_q0,sub_050,,,,4133229.0,ns,33
sub_shared_1mb_q0,sub_050,,,,4213535.0,ns,34
sub_shared_1mb_q0,sub_050,,,,3762105.0,ns,35
sub_shared_1mb_q0,sub_050,,,,4209728.0,ns,36
sub_shared_1mb_q0,sub_050,,,,5218677.0,ns,37
sub_shared_1mb_q0,sub_050,,,,4100118.0,ns,38
sub_shared_1mb_q0,sub_050,,,,3695281.0,ns,39
sub_shared_1mb_q0,sub_050,,,,5549561.0,ns,40
sub_shared_1mb_q0,sub_050,,,,4176990.0,ns,41
sub_shared_1mb_q0,sub_050,,,,5506785.0,ns,42
sub_shared_1mb_q0,sub_050,,,,5579949.0,ns,43
sub_shared_1mb_q0,sub_050,,,,6245106.0,ns,44
sub_shared_1mb_q0,sub_050,,,,2335580.0,ns,45
sub_shared_1mb_q0,sub_050,,,,1955130.0,ns,46
sub_shared_1mb_q0,sub_050,,,,2600006.0,ns,47
sub_shared_1mb_q0,sub_050,,,,6690767.0,ns,48
sub_shared_1mb_q0,sub_050,,,,6859093.0,ns,49
sub_shared_1mb_q0,sub_050,,,,7047158.0,ns,50
sub_shared_1mb_q0,sub_050,,,,7669791.0,ns,51
sub_shared_1mb_q0,sub_050,,,,7755311.0,ns,52
sub_shared_1mb_q0,sub_050,,,,7262161.0,ns,53
sub_shared_1mb_q0,sub_050,,,,7728937.0,ns,54
sub_shared_1mb_q0,sub_050,,,,5552107.0,ns,55
sub_shared_1mb_q0,sub_050,,,,7799490.0,ns,56
sub_shared_1mb_q0,sub_050,,,,7584299.0,ns,57
