group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sub_shared_1mb_q1,sub_010,,,,39113.0,ns,1
sub_shared_1mb_q1,sub_010,,,,96193.0,ns,2
sub_shared_1mb_q1,sub_010,,,,137516.0,ns,3
sub_shared_1mb_q1,sub_010,,,,172518.0,ns,4
sub_shared_1mb_q1,sub_010,,,,242392.0,ns,5
sub_shared_1mb_q1,sub_010,,,,247857.0,ns,6
sub_shared_1mb_q1,sub_010,,,,325513.0,ns,7
sub_shared_1mb_q1,sub_010,,,,381165.0,ns,8
sub_shared_1mb_q1,sub_010,,,,378305.0,ns,9
sub_shared_1mb_q1,sub_010,,,,424240.0,ns,10
sub_shared_1mb_q1,sub_010,,,,501323.0,ns,11
sub_shared_1mb_q1,sub_010,,,,485612.0,ns,12
sub_shared_1mb_q1,sub_010,,,,497407.0,ns,13
sub_shared_1mb_q1,sub_010,,,,626727.0,ns,14
sub_shared_1mb_q1,sub_010,,,,697239.0,ns,15
sub_shared_1mb_q1,sub_010,,,,757759.0,ns,16
sub_shared_1mb_q1,sub_010,,,,786604.0,ns,17
sub_shared_1mb_q1,sub_010,,,,868535.0,ns,18
sub_shared_1mb_q1,sub_010,,,,830468.0,ns,19
sub_shared_1mb_q1,sub_010,,,,752365.0,ns,20
sub_shared_1mb_q1,sub_010,,,,1090386.0,ns,21
sub_shared_1mb_q1,sub_010,,,,954525.0,ns,22
sub_shared_1mb_q1,sub_010,,,,1039880.0,ns,23
sub_shared_1mb_q1,sub_010,,,,1018171.0,ns,24
sub_shared_1mb_q1,sub_010,,,,1051119.0,ns,25
sub_shared_1mb_q1,sub_010,,,,1068692.0,ns,26
sub_shared_1mb_q1,sub_010,,,,1152216.0,ns,27
sub_shared_1mb_q1,sub_010,,,,1233998.0,ns,28
sub_shared_1mb_q1,sub_010,,,,1225541.0,ns,29
sub_shared_1mb_q1,sub_010,,,,1244579.0,ns,30
sub_shared_1mb_q1,sub_010,,,,1424742.0,ns,31
sub_shared_1mb_q1,sub_010,,,,1342009.0,ns,32
sub_shared_1mb_q1,sub_010,,,,1449856.0,ns,33
sub_shared_1mb_q1,sub_010,,,,1538986.0,ns,34
sub_shared_1mb_q1,sub_010,,,,1528589.0,ns,35
sub_shared_1mb_q1,sub_010,,,,1617756.0,ns,36
sub_shared_1mb_q1,sub_010,,,,1574473.0,ns,37
sub_shared_1mb_q1,sub_010,,,,1727651.0,ns,38
sub_shared_1mb_q1,sub_010,,,,1822942.0,ns,39
sub_shared_1mb_q1,sub_010,,,,2861759.0,ns,40
sub_shared_1mb_q1,sub_010,,,,1522075.0,ns,41
sub_shared_1mb_q1,sub_010,,,,549114.0,ns,42
sub_shared_1mb_q1,sub_010,,,,811776.0,ns,43
sub_shared_1mb_q1,sub_010,,,,1831316.0,ns,44
sub_shared_1mb_q1,sub_010,,,,2053621.0,ns,45
sub_shared_1mb_q1,sub_010,,,,1391292.0,ns,46
sub_shared_1mb_q1,sub_010,,,,2227773.0,ns,47
sub_shared_1mb_q1,sub_010,,,,2200379.0,ns,48
sub_shared_1mb_q1,sub_010,,,,2199747.0,ns,49
sub_shared_1mb_q1,sub_010,,,,2176719.0,ns,50
sub_shared_1mb_q1,sub_010,,,,2256953.0,ns,51
sub_shared_1mb_q1,sub_010,,,,2315989.0,ns,52
sub_shared_1mb_q1,sub_010,,,,2336331.0,ns,53
sub_shared_1mb_q1,sub_010,,,,2444812.0,ns,54
sub_shared_1mb_q1,sub_010,,,,2420797.0,ns,55
sub_shared_1mb_q1,sub_010,,,,2344797.0,ns,56
sub_shared_1mb_q1,sub_010,,,,2449606.0,ns,57
sub_shared_1mb_q1,sub_010,,,,2458105.0,ns,58
sub_shared_1mb_q1,sub_010,,,,2542552.0,ns,59
sub_shared_1mb_q1,sub_010,,,,2651175.0,ns,60
sub_shared_1mb_q1,sub_010,,,,2688163.0,ns,61
sub_shared_1mb_q1,sub_010,,,,2914784.0,ns,62
sub_shared_1mb_q1,sub_010,,,,2888939.0,ns,63
sub_shared_1mb_q1,sub_010,,,,2839942.0,ns,64
sub_shared_1mb_q1,sub_010,,,,2866274.0,ns,65
sub_shared_1mb_q1,sub_010,,,,2840470.0,ns,66
sub_shared_1mb_q1,sub_010,,,,2775113.0,ns,67
sub_shared_1mb_q1,sub_010,,,,3038166.0,ns,68
sub_shared_1mb_q1,sub_010,,,,3084848.0,ns,69
sub_shared_1mb_q1,sub_010,,,,3235675.0,ns,70
sub_shared_1mb_q1,sub_010,,,,3243144.0,ns,71
sub_shared_1mb_q1,sub_010,,,,3336448.0,ns,72
sub_shared_1mb_q1,sub_010,,,,3146940.0,ns,73
sub_shared_1mb_q1,sub_010,,,,3434494.0,ns,74
sub_shared_1mb_q1,sub_010,,,,3415975.0,ns,75
sub_shared_1mb_q1,sub_010,,,,2230553.0,ns,76
sub_shared_1mb_q1,sub_010,,,,871354.0,ns,77
sub_shared_1mb_q1,sub_010,,,,864514.0,ns,78
sub_shared_1mb_q1,sub_010,,,,900841.0,ns,79
sub_shared_1mb_q1,sub_010,,,,2419785.0,ns,80
sub_shared_1mb_q1,sub_010,,,,3582713.0,ns,81
sub_shared_1mb_q1,sub_010,,,,3480933.0,ns,82
sub_shared_1mb_q1,sub_010,,,,3495531.0,ns,83
sub_shared_1mb_q1,sub_010,,,,3714134.0,ns,84
sub_shared_1mb_q1,sub_010,,,,3737556.0,ns,85
sub_shared_1mb_q1,sub_010,,,,3672090.0,ns,86
sub_shared_1mb_q1,sub_010,,,,3742491.0,ns,87
sub_shared_1mb_q1,sub_010,,,,3711896.0,ns,88
sub_shared_1mb_q1,sub_010,,,,3718444.0,ns,89
sub_shared_1mb_q1,sub_010,,,,4194255.0,ns,90
sub_shared_1mb_q1,sub_010,,,,4078153.0,ns,91
sub_shared_1mb_q1,sub_010,,,,3947129.0,ns,92
sub_shared_1mb_q1,sub_010,,,,4242122.0,ns,93
sub_shared_1mb_q1,sub_010,,,,4071838.0,ns,94
sub_shared_1mb_q1,sub_010,,,,4376605.0,ns,95
sub_shared_1mb_q1,sub_010,,,,4400805.0,ns,96
sub_shared_1mb_q1,sub_010,,,,4178678.0,ns,97
sub_shared_1mb_q1,sub_010,,,,4288322.0,ns,98
sub_shared_1mb_q1,sub_010,,,,4267287.0,ns,99
sub_shared_1mb_q1,sub_010,,,,4557997.0,ns,100
