group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sub_shared_32b_q0,sub_001,,,,366019.0,ns,324
sub_shared_32b_q0,sub_001,,,,797877.0,ns,648
sub_shared_32b_q0,sub_001,,,,1185360.0,ns,972
sub_shared_32b_q0,sub_001,,,,1619575.0,ns,1296
sub_shared_32b_q0,sub_001,,,,2135516.0,ns,1620
sub_shared_32b_q0,sub_001,,,,2336830.0,ns,1944
sub_shared_32b_q0,sub_001,,,,2793006.0,ns,2268
sub_shared_32b_q0,sub_001,,,,3370201.0,ns,2592
sub_shared_32b_q0,sub_001,,,,3445370.0,ns,2916
sub_shared_32b_q0,sub_001,,,,4486692.0,ns,3240
sub_shared_32b_q0,sub_001,,,,7554226.0,ns,3564
sub_shared_32b_q0,sub_001,,,,6539652.0,ns,3888
sub_shared_32b_q0,sub_001,,,,6243394.0,ns,4212
sub_shared_32b_q0,sub_001,,,,6790514.0,ns,4536
sub_shared_32b_q0,sub_001,,,,6387679.0,ns,4860
sub_shared_32b_q0,sub_001,,,,7136618.0,ns,5184
sub_shared_32b_q0,sub_001,,,,8237372.0,ns,5508
sub_shared_32b_q0,sub_001,,,,7681745.0,ns,5832
sub_shared_32b_q0,sub_001,,,,8814809.0,ns,6156
sub_shared_32b_q0,sub_001,,,,9773748.0,ns,6480
sub_shared_32b_q0,sub_001,,,,9474736.0,ns,6804
sub_shared_32b_q0,sub_001,,,,8145522.0,ns,7128
sub_shared_32b_q0,sub_001,,,,9580603.0,ns,7452
sub_shared_32b_q0,sub_001,,,,11507945.0,ns,7776
sub_shared_32b_q0,sub_001,,,,11796568.0,ns,8100
sub_shared_32b_q0,sub_001,,,,11854149.0,ns,8424
sub_shared_32b_q0,sub_001,,,,11298440.0,ns,8748
sub_shared_32b_q0,sub_001,,,,10243103.0,ns,9072
sub_shared_32b_q0,sub_001,,,,11529371.0,ns,9396
sub_shared_32b_q0,sub_001,,,,13408271.0,ns,9720
sub_shared_32b_q0,sub_001,,,,11442621.0,ns,10044
sub_shared_32b_q0,sub_001,,,,11666768.0,ns,10368
sub_shared_32b_q0,sub_001,,,,13548055.0,ns,10692
sub_shared_32b_q0,sub_001,,,,12673110.0,ns,11016
sub_shared_32b_q0,sub_001,,,,13457199.0,ns,11340
sub_shared_32b_q0,sub_001,,,,13751011.0,ns,11664
sub_shared_32b_q0,sub_001,,,,15356579.0,ns,11988
sub_shared_32b_q0,sub_001,,,,15795467.0,ns,12312
sub_shared_32b_q0,sub_001,,,,17979118.0,ns,12636
sub_shared_32b_q0,sub_001,,,,15972027.0,ns,12960
sub_shared_32b_q0,sub_001,,,,17003297.0,ns,13284
sub_shared_32b_q0,sub_001,,,,16561270.0,ns,13608
sub_shared_32b_q0,sub_001,,,,18001411.0,ns,13932
sub_shared_32b_q0,sub_001,,,,16429072.0,ns,14256
sub_shared_32b_q0,sub_001,,,,17592548.0,ns,14580
sub_shared_32b_q0,sub_001,,,,19473724.0,ns,14904
sub_shared_32b_q0,sub_001,,,,17545892.0,ns,15228
sub_shared_32b_q0,sub_001,,,,18037418.0,ns,15552
sub_shared_32b_q0,sub_001,,,,20556879.0,ns,15876
sub_shared_32b_q0,sub_001,,,,20460452.0,ns,16200
sub_shared_32b_q0,sub_001,,,,19648801.0,ns,16524
sub_shared_32b_q0,sub_001,,,,19644125.0,ns,16848
sub_shared_32b_q0,sub_001,,,,24333991.0,ns,17172
sub_shared_32b_q0,sub_001,,,,20934467.0,ns,17496
sub_shared_32b_q0,sub_001,,,,23881450.0,ns,17820
sub_shared_32b_q0,sub_001,,,,23059204.0,ns,18144
sub_shared_32b_q0,sub_001,,,,25767640.0,ns,18468
sub_shared_32b_q0,sub_001,,,,23505305.0,ns,18792
sub_shared_32b_q0,sub_001,,,,22815580.0,ns,19116
sub_shared_32b_q0,sub_001,,,,25675878.0,ns,19440
sub_shared_32b_q0,sub_001,,,,22394442.0,ns,19764
sub_shared_32b_q0,sub_001,,,,23911629.0,ns,20088
