group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sub_shared_32b_q1,sub_100,,,,1004232.0,ns,6
sub_shared_32b_q1,sub_100,,,,1511125.0,ns,12
sub_shared_32b_q1,sub_100,,,,2115995.0,ns,18
sub_shared_32b_q1,sub_100,,,,3407046.0,ns,24
sub_shared_32b_q1,sub_100,,,,4196788.0,ns,30
sub_shared_32b_q1,sub_100,,,,3717398.0,ns,36
sub_shared_32b_q1,sub_100,,,,5833937.0,ns,42
sub_shared_32b_q1,sub_100,,,,7092249.0,ns,48
sub_shared_32b_q1,sub_100,,,,7807527.0,ns,54
sub_shared_32b_q1,sub_100,,,,8353302.0,ns,60
sub_shared_32b_q1,sub_100,,,,9138057.0,ns,66
sub_shared_32b_q1,sub_100,,,,10023891.0,ns,72
sub_shared_32b_q1,sub_100,,,,12246087.0,ns,78
sub_shared_32b_q1,sub_100,,,,11484302.0,ns,84
sub_shared_32b_q1,sub_100,,,,13318089.0,ns,90
sub_shared_32b_q1,sub_100,,,,17558613.0,ns,96
sub_shared_32b_q1,sub_100,,,,20265098.0,ns,102
sub_shared_32b_q1,sub_100,,,,14154389.0,ns,108
sub_shared_32b_q1,sub_100,,,,16970656.0,ns,114
sub_shared_32b_q1,sub_100,,,,13513957.0,ns,120
sub_shared_32b_q1,sub_100,,,,20530699.0,ns,126
sub_shared_32b_q1,sub_100,,,,22609112.0,ns,132
sub_shared_32b_q1,sub_100,,,,21014179.0,ns,138
sub_shared_32b_q1,sub_100,,,,19846950.0,ns,144
sub_shared_32b_q1,sub_100,,,,19890188.0,ns,150
sub_shared_32b_q1,sub_100,,,,20905079.0,ns,156
sub_shared_32b_q1,sub_100,,,,21960500.0,ns,162
sub_shared_32b_q1,sub_100,,,,22827204.0,ns,168
sub_shared_32b_q1,sub_100,,,,22724806.0,ns,174
sub_shared_32b_q1,sub_100,,,,24363746.0,ns,180
sub_shared_32b_q1,sub_100,,,,32576057.0,ns,186
sub_shared_32b_q1,sub_100,,,,26030528.0,ns,192
sub_shared_32b_q1,sub_100,,,,25616804.0,ns,198
sub_shared_32b_q1,sub_100,,,,27252447.0,ns,204
sub_shared_32b_q1,sub_100,,,,25403536.0,ns,210
sub_shared_32b_q1,sub_100,,,,24694917.0,ns,216
sub_shared_32b_q1,sub_100,,,,29092555.0,ns,222
sub_shared_32b_q1,sub_100,,,,30223589.0,ns,228
sub_shared_32b_q1,sub_100,,,,31226242.0,ns,234
sub_shared_32b_q1,sub_100,,,,33211038.0,ns,240
sub_shared_32b_q1,sub_100,,,,32659754.0,ns,246
sub_shared_32b_q1,sub_100,,,,30496061.0,ns,252
sub_shared_32b_q1,sub_100,,,,43677395.0,ns,258
sub_shared_32b_q1,sub_100,,,,34642861.0,ns,264
sub_shared_32b_q1,sub_100,,,,34142742.0,ns,270
sub_shared_32b_q1,sub_100,,,,29328983.0,ns,276
sub_shared_32b_q1,sub_100,,,,36553237.0,ns,282
sub_shared_32b_q1,sub_100,,,,39659613.0,ns,288
sub_shared_32b_q1,sub_100,,,,39107250.0,ns,294
sub_shared_32b_q1,sub_100,,,,39652548.0,ns,300
sub_shared_32b_q1,sub_100,,,,41417879.0,ns,306
sub_shared_32b_q1,sub_100,,,,49659643.0,ns,312
sub_shared_32b_q1,sub_100,,,,38410277.0,ns,318
sub_shared_32b_q1,sub_100,,,,41915065.0,ns,324
sub_shared_32b_q1,sub_100,,,,52672011.0,ns,330
sub_shared_32b_q1,sub_100,,,,47549952.0,ns,336
sub_shared_32b_q1,sub_100,,,,47710133.0,ns,342
sub_shared_32b_q1,sub_100,,,,47201295.0,ns,348
sub_shared_32b_q1,sub_100,,,,55632346.0,ns,354
sub_shared_32b_q1,sub_100,,,,52259981.0,ns,360
sub_shared_32b_q1,sub_100,,,,59654807.0,ns,366
sub_shared_32b_q1,sub_100,,,,51563369.0,ns,372
sub_shared_32b_q1,sub_100,,,,58794433.0,ns,378
sub_shared_32b_q1,sub_100,,,,65069930.0,ns,384
sub_shared_32b_q1,sub_100,,,,51430731.0,ns,390
sub_shared_32b_q1,sub_100,,,,64585079.0,ns,396
sub_shared_32b_q1,sub_100,,,,59222759.0,ns,402
sub_shared_32b_q1,sub_100,,,,61293180.0,ns,408
sub_shared_32b_q1,sub_100,,,,66155989.0,ns,414
sub_shared_32b_q1,sub_100,,,,58807931.0,ns,420
sub_shared_32b_q1,sub_100,,,,42227335.0,ns,426
sub_shared_32b_q1,sub_100,,,,56621723.0,ns,432
sub_shared_32b_q1,sub_100,,,,55811964.0,ns,438
sub_shared_32b_q1,sub_100,,,,59336134.0,ns,444
sub_shared_32b_q1,sub_100,,,,55154699.0,ns,450
sub_shared_32b_q1,sub_100,,,,48197299.0,ns,456
sub_shared_32b_q1,sub_100,,,,51920621.0,ns,462
sub_shared_32b_q1,sub_100,,,,59106391.0,ns,468
sub_shared_32b_q1,sub_100,,,,63467126.0,ns,474
